Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	79.47	96.38	96.81
2	0.067	82.03	97.59	101.94
3	0.1	87.62	104.52	108.82
4	0.133	88.15	105.1	107.74
5	0.167	87.72	101.16	109.82
6	0.2	87.27	100.87	108.9
7	0.233	87.22	99.77	108.92
8	0.267	87.29	98.06	108.21
9	0.3	84.05	86.08	103.28
10	0.333	88.17	92.07	108.89
11	0.367	88.72	90.46	108.86
12	0.4	88.9	89.75	107.07
13	0.433	88.28	87.52	108.47
14	0.467	88.02	78.39	117.58
15	0.5	88.93	80.57	117.66
16	0.533	88.69	77.92	116.84
17	0.567	90.23	77.39	117.58
18	0.6	90.82	77.0	117.72
19	0.633	90.8	77.42	118.34
20	0.667	90.57	76.35	118.21
21	0.7	91.23	77.26	118.2
22	0.733	91.06	76.12	119.09
23	0.767	91.27	77.82	118.5
24	0.8	91.64	79.02	118.29
25	0.833	90.9	78.64	119.98
26	0.867	90.55	78.92	119.49
27	0.9	90.68	80.29	119.48
28	0.933	89.59	77.93	118.66
29	0.967	89.47	77.61	117.26
30	1.0	89.39	76.7	118.47
31	1.033	89.93	76.54	118.1
32	1.067	89.36	75.42	118.13
33	1.1	89.44	75.79	117.77
34	1.133	88.91	77.39	117.49
35	1.167	87.06	76.13	116.69
36	1.2	87.21	76.05	114.53
37	1.233	88.71	77.01	114.24
38	1.267	87.93	78.42	113.14
39	1.3	88.39	77.61	113.39
40	1.333	88.44	78.36	114.08
41	1.367	86.56	77.05	113.52
42	1.4	85.97	75.41	112.44
43	1.433	85.37	75.3	112.04
44	1.467	85.81	75.07	114.01
45	1.5	85.46	75.29	113.55
46	1.533	85.3	75.88	112.19
47	1.567	85.04	76.88	111.49
48	1.6	84.75	75.87	111.12
49	1.633	83.82	78.33	112.0
50	1.667	83.97	78.59	112.56
51	1.7	82.59	79.36	112.2
52	1.733	82.67	79.43	112.36
53	1.767	82.81	78.66	111.62
54	1.8	82.25	78.0	111.42
55	1.833	81.69	78.73	110.41
56	1.867	81.85	77.97	110.72
57	1.9	81.83	78.7	110.94
58	1.933	80.82	76.28	111.73
59	1.967	81.05	78.73	112.13
60	2.0	80.18	76.93	112.52
61	2.033	83.33	78.89	115.14
62	2.067	82.49	76.39	114.3
63	2.1	81.78	74.3	114.6
64	2.133	81.85	74.81	113.55
65	2.167	80.61	73.43	113.4
66	2.2	81.58	73.74	112.86
67	2.233	82.51	76.12	112.42
68	2.267	80.98	80.94	103.9
69	2.3	82.0	77.29	111.68
70	2.333	81.69	83.1	103.71
71	2.367	82.77	84.32	103.75
72	2.4	82.55	82.13	104.51
73	2.433	81.23	83.3	104.17
74	2.467	82.04	84.63	102.91
75	2.5	81.66	84.46	104.11
76	2.533	81.56	85.92	102.54
77	2.567	80.5	84.94	102.12
78	2.6	80.54	83.77	103.17
79	2.633	82.16	85.13	101.57
80	2.667	81.99	86.68	102.27
81	2.7	81.9	85.85	104.05
82	2.733	82.4	85.93	108.08
83	2.767	82.57	85.79	106.61
84	2.8	84.0	88.93	107.93
85	2.833	84.72	87.31	105.84
86	2.867	84.6	87.37	105.17
87	2.9	92.4	77.86	114.57
88	2.933	93.11	78.1	113.81
89	2.967	93.9	79.15	114.04
90	3.0	94.74	79.53	113.49
91	3.033	95.95	80.48	115.08
92	3.067	96.2	82.53	114.18
93	3.1	87.62	84.67	110.12
94	3.133	87.97	87.11	110.55
95	3.167	96.56	79.62	115.27
96	3.2	96.12	77.64	116.35
97	3.233	96.74	79.77	116.61
98	3.267	87.84	91.78	108.18
99	3.3	86.06	89.27	108.52
100	3.333	85.76	89.82	107.36
101	3.367	87.24	90.6	109.76
102	3.4	87.62	90.04	109.36
103	3.433	87.68	90.92	111.06
104	3.467	88.53	91.87	110.05
105	3.5	88.36	91.85	109.18
106	3.533	88.67	94.34	110.66
107	3.567	88.88	92.25	111.24
108	3.6	89.1	90.92	109.9
109	3.633	90.08	89.22	106.9
110	3.667	89.54	88.92	105.47
111	3.7	89.14	89.06	106.19
112	3.733	96.18	79.77	118.37
113	3.767	95.81	79.99	117.85
114	3.8	96.21	79.31	117.8
115	3.833	89.5	85.16	106.52
116	3.867	89.57	84.44	107.01
117	3.9	89.34	84.13	107.48
118	3.933	88.97	83.87	107.88
119	3.967	89.29	82.06	107.89
120	4.0	89.19	81.79	107.43
121	4.033	90.32	83.09	109.2
122	4.067	90.65	81.64	108.87
123	4.1	89.07	80.19	106.89
124	4.133	89.01	78.89	107.39
125	4.167	86.31	77.8	105.47
126	4.2	86.22	76.32	105.63
127	4.233	87.7	75.81	103.63
128	4.267	88.3	74.23	105.11
129	4.3	87.91	72.5	104.51
130	4.333	87.5	70.82	105.31
131	4.367	86.9	70.51	105.44
132	4.4	86.22	66.48	105.8
133	4.433	88.28	67.68	105.63
134	4.467	87.28	66.48	105.85
135	4.5	85.95	64.04	105.72
136	4.533	85.72	63.63	106.74
137	4.567	86.04	64.19	106.06
138	4.6	85.57	65.32	104.68
139	4.633	86.15	64.88	105.08
140	4.667	85.34	64.33	105.77
141	4.7	85.21	64.53	106.01
142	4.733	84.44	63.77	105.12
143	4.767	84.42	63.04	106.17
144	4.8	83.44	62.69	104.78
145	4.833	85.59	63.99	106.25
146	4.867	85.51	64.09	106.05
