Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
1	0.033	107.52	18.01	49.73	130.13
2	0.067	103.68	16.65	47.52	127.06
3	0.1	0.0	0.0	0.0	0.0
4	0.133	0.0	0.0	0.0	0.0
5	0.167	0.0	0.0	0.0	0.0
6	0.2	0.0	0.0	0.0	0.0
7	0.233	0.0	0.0	0.0	0.0
8	0.267	0.0	0.0	0.0	0.0
9	0.3	0.0	0.0	0.0	0.0
10	0.333	102.78	16.18	132.79	126.47
11	0.367	100.7	16.48	32.19	124.45
12	0.4	98.68	31.58	33.96	128.56
13	0.433	99.9	25.47	25.85	124.81
14	0.467	100.27	22.18	22.93	123.23
15	0.5	99.44	25.95	15.13	122.98
16	0.533	98.83	26.22	16.3	122.91
17	0.567	99.41	28.34	15.91	122.39
18	0.6	97.49	31.61	12.15	122.25
19	0.633	97.45	28.99	3.78	119.59
20	0.667	0.0	0.0	0.0	0.0
21	0.7	0.0	0.0	0.0	0.0
22	0.733	0.0	0.0	0.0	0.0
23	0.767	0.0	0.0	0.0	0.0
24	0.8	0.0	0.0	0.0	0.0
25	0.833	94.95	100.95	70.27	120.73
26	0.867	95.66	102.7	17.95	122.84
27	0.9	97.41	92.11	7.87	122.74
28	0.933	97.75	82.83	13.08	121.62
29	0.967	100.52	79.57	15.09	123.43
30	1.0	100.33	55.99	36.8	121.55
31	1.033	100.59	32.8	20.01	119.59
32	1.067	100.2	66.53	27.74	122.16
33	1.1	100.87	70.03	30.34	122.48
34	1.133	99.69	80.56	18.0	124.15
35	1.167	99.34	79.49	36.07	122.48
36	1.2	101.79	86.15	24.26	124.33
37	1.233	0.0	0.0	0.0	0.0
38	1.267	0.0	0.0	0.0	0.0
39	1.3	0.0	0.0	0.0	0.0
40	1.333	0.0	0.0	0.0	0.0
41	1.367	0.0	0.0	0.0	0.0
42	1.4	0.0	0.0	0.0	0.0
43	1.433	0.0	0.0	0.0	0.0
44	1.467	0.0	0.0	0.0	0.0
45	1.5	0.0	0.0	0.0	0.0
46	1.533	0.0	0.0	0.0	0.0
47	1.567	0.0	0.0	0.0	0.0
48	1.6	0.0	0.0	0.0	0.0
49	1.633	0.0	0.0	0.0	0.0
50	1.667	0.0	0.0	0.0	0.0
51	1.7	0.0	0.0	0.0	0.0
52	1.733	0.0	0.0	0.0	0.0
53	1.767	0.0	0.0	0.0	0.0
54	1.8	104.01	99.97	34.65	126.99
55	1.833	107.1	106.9	117.93	128.14
56	1.867	109.79	119.7	115.24	132.44
57	1.9	110.96	131.4	154.05	133.48
58	1.933	109.92	131.82	144.49	132.23
59	1.967	112.72	133.22	130.86	135.36
60	2.0	110.26	131.32	122.42	131.67
61	2.033	111.24	123.79	126.32	133.33
62	2.067	111.77	122.59	145.73	133.87
63	2.1	117.19	119.85	110.66	135.7
64	2.133	115.5	117.31	123.39	132.4
65	2.167	116.39	113.34	179.11	133.33
66	2.2	116.69	136.17	115.02	132.42
67	2.233	117.61	126.7	107.56	132.52
68	2.267	116.67	118.56	89.81	131.72
69	2.3	117.26	85.93	87.71	131.25
70	2.333	117.01	79.89	92.24	133.26
71	2.367	115.83	74.92	123.22	131.66
72	2.4	114.98	72.01	145.63	131.89
73	2.433	114.3	21.64	108.97	128.99
74	2.467	118.17	27.73	68.12	129.0
75	2.5	118.36	45.35	74.67	126.43
76	2.533	115.56	26.55	0.22	124.75
77	2.567	118.08	31.51	9.8	126.48
78	2.6	119.76	41.67	7.78	130.8
79	2.633	118.78	41.09	15.6	133.71
80	2.667	119.03	54.68	25.33	134.58
81	2.7	116.76	63.32	23.59	134.0
82	2.733	0.0	0.0	0.0	0.0
83	2.767	111.5	89.81	0.78	122.78
84	2.8	108.96	88.39	6.77	120.02
85	2.833	107.29	96.3	97.82	118.9
86	2.867	109.26	105.64	10.04	118.44
87	2.9	106.28	105.24	58.71	116.68
88	2.933	107.23	103.98	133.61	117.86
89	2.967	103.26	106.87	156.29	113.79
90	3.0	102.17	108.93	4.52	113.83
91	3.033	100.15	110.74	34.75	112.69
92	3.067	99.95	108.69	9.94	113.32
93	3.1	99.94	101.57	24.99	119.07
94	3.133	99.15	99.79	18.18	117.82
95	3.167	99.82	97.82	10.12	118.65
96	3.2	101.45	96.92	8.31	116.92
97	3.233	101.81	105.74	43.36	122.8
98	3.267	102.78	109.03	47.87	120.58
99	3.3	100.21	164.72	48.23	121.85
100	3.333	101.66	152.84	48.25	122.59
101	3.367	102.99	135.89	65.75	122.42
102	3.4	98.65	162.84	79.32	121.14
103	3.433	98.4	101.43	62.8	119.0
104	3.467	100.16	74.84	19.05	120.15
105	3.5	101.09	133.45	36.41	121.58
106	3.533	100.08	158.47	68.61	123.21
107	3.567	100.39	142.69	76.05	122.47
108	3.6	101.24	146.81	94.05	122.48
109	3.633	97.84	177.99	91.75	117.2
110	3.667	99.25	151.91	63.57	117.22
111	3.7	100.62	91.2	68.21	117.64
112	3.733	99.49	75.13	97.89	120.0
113	3.767	100.06	89.12	96.56	121.56
114	3.8	99.31	161.7	106.26	121.16
115	3.833	97.89	145.57	116.69	122.19
116	3.867	97.81	129.46	118.02	122.06
117	3.9	97.42	127.61	117.9	121.03
118	3.933	98.02	107.02	129.55	121.09
119	3.967	99.89	151.74	124.0	120.67
120	4.0	101.31	172.8	117.11	122.25
121	4.033	98.92	97.91	140.28	124.31
122	4.067	99.35	66.57	119.38	120.22
123	4.1	99.38	76.38	122.37	121.42
124	4.133	0.0	0.0	0.0	0.0
125	4.167	98.56	77.96	153.0	119.78
126	4.2	98.34	70.23	178.68	120.92
127	4.233	98.07	46.6	178.78	122.48
128	4.267	95.96	48.38	167.19	117.82
129	4.3	94.09	47.34	179.89	117.9
130	4.333	94.5	45.58	173.35	120.31
131	4.367	96.57	82.28	142.56	116.68
132	4.4	97.81	77.64	117.11	116.34
133	4.433	95.72	74.57	170.41	112.42
134	4.467	95.71	76.57	157.78	113.21
135	4.5	97.16	80.5	150.84	117.56
136	4.533	97.22	70.28	125.47	117.97
137	4.567	96.84	50.82	84.9	128.09
138	4.6	96.15	53.17	86.84	126.04
139	4.633	95.6	66.42	98.75	124.6
140	4.667	99.14	19.23	164.09	134.12
141	4.7	97.94	32.82	161.38	132.47
142	4.733	0.0	0.0	0.0	0.0
143	4.767	0.0	0.0	0.0	0.0
144	4.8	0.0	0.0	0.0	0.0
145	4.833	0.0	0.0	0.0	0.0
146	4.867	0.0	0.0	0.0	0.0
147	4.9	0.0	0.0	0.0	0.0
148	4.933	0.0	0.0	0.0	0.0
149	4.967	0.0	0.0	0.0	0.0
150	5.0	0.0	0.0	0.0	0.0
151	5.033	0.0	0.0	0.0	0.0
152	5.067	0.0	0.0	0.0	0.0
153	5.1	0.0	0.0	0.0	0.0
154	5.133	0.0	0.0	0.0	0.0
155	5.167	0.0	0.0	0.0	0.0
156	5.2	0.0	0.0	0.0	0.0
157	5.233	0.0	0.0	0.0	0.0
158	5.267	0.0	0.0	0.0	0.0
159	5.3	0.0	0.0	0.0	0.0
160	5.333	0.0	0.0	0.0	0.0
161	5.367	0.0	0.0	0.0	0.0
162	5.4	0.0	0.0	0.0	0.0
163	5.433	0.0	0.0	0.0	0.0
164	5.467	0.0	0.0	0.0	0.0
165	5.5	0.0	0.0	0.0	0.0
166	5.533	0.0	0.0	0.0	0.0
167	5.567	0.0	0.0	0.0	0.0
168	5.6	0.0	0.0	0.0	0.0
169	5.633	0.0	0.0	0.0	0.0
170	5.667	0.0	0.0	0.0	0.0
