Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
1	0.034	178.67	78.16	70.26	106.1
2	0.069	177.94	77.61	68.17	104.86
3	0.103	177.7	75.71	70.67	104.12
4	0.138	177.79	74.87	73.13	104.36
5	0.172	176.23	73.18	61.73	110.98
6	0.207	177.22	76.68	70.88	103.23
7	0.241	176.16	74.41	63.64	109.65
8	0.276	176.19	75.09	62.2	109.52
9	0.31	175.85	73.8	63.43	110.72
10	0.345	176.22	73.28	62.81	110.43
11	0.379	176.02	73.17	62.99	110.84
12	0.414	176.35	73.89	65.84	109.95
13	0.448	176.4	75.35	68.46	110.38
14	0.483	176.36	75.35	67.11	110.71
15	0.517	176.28	75.48	66.27	110.24
16	0.552	176.13	76.07	66.06	109.87
17	0.586	176.25	75.38	66.0	109.87
18	0.621	176.19	74.42	67.58	110.84
19	0.655	176.15	74.22	68.18	111.15
20	0.69	176.45	73.29	68.19	111.5
21	0.724	176.37	73.4	69.49	112.24
22	0.759	176.22	71.94	66.66	112.37
23	0.793	175.89	72.64	67.07	111.83
24	0.828	175.79	74.97	68.98	111.94
25	0.862	176.06	74.28	69.79	112.45
26	0.897	176.19	74.21	70.11	111.84
27	0.931	176.18	73.13	69.07	112.25
28	0.966	176.16	73.83	68.83	113.03
29	1.0	176.52	73.88	70.6	113.1
30	1.034	176.23	74.21	72.27	113.3
31	1.069	176.23	74.92	73.05	113.69
32	1.103	177.18	77.23	87.76	105.5
33	1.138	179.67	77.33	87.12	109.88
34	1.172	179.58	76.78	90.62	109.7
35	1.207	176.69	77.12	94.0	104.61
36	1.241	176.99	75.95	98.81	105.51
37	1.276	177.85	71.48	113.24	100.64
38	1.31	178.54	71.93	108.62	100.89
39	1.345	178.35	72.01	101.67	100.52
40	1.379	178.86	72.21	101.18	101.47
41	1.414	178.96	72.75	97.73	101.78
42	1.448	178.54	72.08	98.8	101.51
43	1.483	176.52	75.1	105.77	100.7
44	1.517	176.83	74.59	106.65	100.63
45	1.552	176.65	74.65	108.99	101.15
46	1.586	177.02	74.26	108.3	101.42
47	1.621	176.99	74.71	106.24	101.68
48	1.655	177.24	74.56	106.44	101.55
49	1.69	177.2	74.16	104.38	101.74
50	1.724	177.05	74.34	101.93	101.58
51	1.759	176.96	74.36	102.68	101.97
52	1.793	176.94	74.83	101.95	102.26
53	1.828	177.04	75.13	102.37	101.94
54	1.862	177.39	74.47	105.47	102.04
55	1.897	177.0	75.22	97.3	101.75
56	1.931	176.8	72.69	87.17	100.53
57	1.966	176.75	72.82	82.54	101.46
58	2.0	176.11	73.51	78.92	100.16
59	2.034	176.73	74.16	74.46	99.63
60	2.069	176.09	75.72	70.02	104.16
61	2.103	179.57	74.12	74.4	108.73
62	2.138	179.74	73.99	82.69	109.26
63	2.172	176.78	77.08	78.49	105.43
64	2.207	177.56	72.12	63.23	111.76
65	2.241	177.25	71.28	64.7	112.65
66	2.276	177.41	71.1	65.35	111.94
67	2.31	177.83	73.47	64.32	111.12
68	2.345	177.1	72.36	65.53	111.63
69	2.379	176.55	73.33	64.76	112.58
70	2.414	177.01	72.21	66.88	112.16
71	2.448	176.88	72.25	64.89	112.5
72	2.483	176.97	73.1	64.41	111.43
73	2.517	177.04	71.85	71.34	112.06
74	2.552	177.12	70.5	71.04	111.41
75	2.586	178.09	71.45	70.69	109.6
76	2.621	178.35	70.92	70.44	109.22
77	2.655	179.2	71.54	71.6	108.88
78	2.69	179.72	72.54	70.91	106.93
79	2.724	179.62	72.47	70.92	107.34
80	2.759	179.77	71.97	70.56	107.38
81	2.793	179.94	73.24	68.97	106.64
82	2.828	179.43	72.44	68.69	106.91
83	2.862	179.12	72.14	69.49	107.1
84	2.897	179.4	72.74	70.29	107.41
85	2.931	179.73	72.87	70.32	108.52
86	2.966	179.62	70.85	70.1	108.53
87	3.0	179.49	69.84	68.16	108.33
88	3.034	173.48	74.1	87.97	102.91
89	3.069	173.18	74.61	87.39	102.99
90	3.103	173.34	77.27	83.32	102.91
91	3.138	173.43	77.09	85.61	103.84
92	3.172	173.5	75.18	83.18	103.21
93	3.207	173.4	75.01	85.57	102.53
94	3.241	173.85	75.39	81.02	102.99
95	3.276	174.41	77.13	81.23	101.96
96	3.31	173.93	77.51	84.26	101.94
97	3.345	173.95	76.75	84.21	102.05
98	3.379	173.83	75.84	82.99	101.42
99	3.414	174.03	76.83	80.04	101.05
100	3.448	174.0	76.61	80.63	101.28
101	3.483	173.08	72.94	82.21	102.48
102	3.517	173.08	73.01	82.77	102.26
103	3.552	173.13	73.16	84.54	102.75
104	3.586	173.13	73.83	82.22	103.34
105	3.621	173.22	75.7	81.66	103.9
106	3.655	172.51	74.95	81.4	103.9
107	3.69	172.59	74.65	80.87	103.63
108	3.724	172.97	72.04	91.14	104.17
109	3.759	174.25	73.2	92.37	103.71
110	3.793	173.69	72.0	98.07	103.92
111	3.828	174.04	72.68	97.71	104.06
112	3.862	174.16	73.81	89.88	103.91
113	3.897	174.1	73.25	93.48	103.79
114	3.931	173.78	72.89	97.63	104.36
115	3.966	173.43	73.27	97.3	105.26
116	4.0	173.29	72.26	96.44	105.56
117	4.034	172.63	72.14	95.1	106.18
118	4.069	172.14	70.54	98.19	105.91
119	4.103	172.52	71.3	100.87	105.72
120	4.138	172.73	70.05	101.61	106.14
121	4.172	173.66	67.59	91.42	106.73
122	4.207	173.76	66.55	90.74	108.06
123	4.241	173.47	66.09	90.67	107.15
124	4.276	173.72	66.04	89.94	106.35
125	4.31	173.7	65.95	91.3	106.21
126	4.345	173.05	65.88	87.68	104.51
127	4.379	173.23	66.43	87.5	103.59
128	4.414	173.67	67.1	94.3	105.08
129	4.448	173.37	66.8	91.79	104.28
130	4.483	173.39	66.88	93.13	104.28
131	4.517	173.12	67.01	91.87	104.76
132	4.552	172.92	67.57	90.64	105.11
133	4.586	173.89	66.58	89.28	105.94
134	4.621	173.74	66.82	86.79	105.46
135	4.655	173.6	68.24	86.4	105.28
136	4.69	173.72	68.2	90.5	105.12
137	4.724	173.15	68.35	95.25	105.94
138	4.759	172.88	68.32	94.0	106.24
139	4.793	172.98	67.92	93.59	106.54
140	4.828	173.58	68.75	100.29	107.06
141	4.862	172.85	71.94	98.6	104.95
142	4.897	173.06	71.69	99.45	105.69
143	4.931	174.5	68.13	123.67	102.79
144	4.966	173.88	69.06	123.78	102.71
145	5.0	174.16	70.1	123.95	102.01
146	5.034	173.92	72.45	122.06	102.02
147	5.069	174.62	71.64	123.86	101.9
148	5.103	174.66	72.88	102.66	107.43
149	5.138	175.77	72.92	105.31	107.78
150	5.172	175.05	73.57	100.65	105.66
151	5.207	175.03	71.8	99.73	105.19
152	5.241	175.34	70.56	99.63	104.6
153	5.276	175.55	71.55	93.35	104.56
154	5.31	175.64	73.48	93.87	103.44
155	5.345	175.41	74.18	94.86	103.76
156	5.379	175.66	73.96	93.53	102.48
157	5.414	175.53	75.37	92.02	103.61
158	5.448	175.22	75.01	91.18	102.77
159	5.483	175.32	75.11	92.97	102.0
160	5.517	174.66	76.72	92.41	101.46
161	5.552	174.6	76.15	92.69	101.9
162	5.586	174.94	75.54	92.26	102.31
163	5.621	175.0	75.56	90.52	102.0
164	5.655	174.74	76.47	90.04	101.03
165	5.69	174.94	76.43	88.42	101.28
166	5.724	175.01	78.14	86.65	100.88
167	5.759	174.84	77.13	86.01	99.66
168	5.793	175.51	78.43	82.25	100.12
169	5.828	175.16	79.4	84.75	101.11
170	5.862	175.44	79.56	85.35	100.76
171	5.897	175.56	81.64	82.25	101.15
172	5.931	175.85	80.69	77.41	101.33
173	5.966	176.07	82.06	78.13	102.23
174	6.0	175.75	80.93	78.42	103.0
175	6.034	175.26	79.97	76.97	103.6
176	6.069	175.58	79.3	82.42	103.98
177	6.103	175.81	79.92	84.55	104.06
178	6.138	176.44	78.44	84.93	104.61
179	6.172	175.77	78.05	86.1	104.72
180	6.207	175.9	78.1	83.12	104.57
181	6.241	175.55	79.54	80.73	103.9
182	6.276	175.51	79.23	84.1	104.39
183	6.31	175.42	81.0	84.24	104.32
184	6.345	175.6	81.47	83.87	104.79
185	6.379	175.42	80.88	83.2	104.29
186	6.414	174.72	81.63	83.91	103.8
187	6.448	176.36	77.23	90.43	104.25
188	6.483	176.46	77.59	90.78	103.95
189	6.517	174.17	81.83	87.01	100.9
190	6.552	173.43	81.73	83.37	99.92
191	6.586	173.04	81.68	79.62	100.27
192	6.621	172.75	81.68	76.53	100.42
193	6.655	173.38	79.31	72.96	102.18
194	6.69	173.09	80.38	73.23	102.84
195	6.724	172.57	78.08	75.87	103.45
196	6.759	173.76	72.98	85.89	106.55
197	6.793	173.96	72.06	86.53	108.53
198	6.828	172.44	75.3	85.39	108.15
199	6.862	173.34	73.29	86.19	109.9
200	6.897	173.73	71.65	88.63	111.19
201	6.931	174.6	69.14	87.35	112.99
202	6.966	174.26	67.49	85.52	113.24
203	7.0	174.3	67.43	84.07	113.4
204	7.034	174.57	67.63	84.18	114.73
205	7.069	173.85	66.72	80.9	115.3
206	7.103	173.75	65.94	82.72	115.51
207	7.138	173.78	66.08	81.31	116.89
208	7.172	174.49	61.0	87.87	117.21
209	7.207	172.88	63.37	82.68	117.29
210	7.241	172.38	62.71	83.04	117.62
211	7.276	171.98	64.32	79.32	117.83
212	7.31	172.05	65.15	84.73	118.64
213	7.345	171.94	66.1	84.25	119.6
214	7.379	171.38	66.36	87.93	120.03
215	7.414	172.34	64.78	91.98	121.54
216	7.448	172.64	65.35	92.94	122.1
217	7.483	173.13	62.05	93.87	122.49
218	7.517	173.45	62.17	95.94	124.18
219	7.552	173.03	62.99	96.17	124.32
220	7.586	172.8	64.15	92.64	124.22
221	7.621	173.2	65.16	89.4	124.89
222	7.655	173.32	64.89	91.17	124.55
223	7.69	172.5	67.1	96.97	111.58
224	7.724	171.64	67.51	105.69	111.83
225	7.759	170.82	68.87	110.14	110.65
226	7.793	169.67	68.91	117.76	109.14
227	7.828	170.24	66.91	115.57	108.73
228	7.862	173.11	65.0	115.61	121.68
229	7.897	172.81	67.74	135.31	111.25
230	7.931	175.51	64.24	136.5	113.18
231	7.966	173.9	67.99	136.94	110.82
232	8.0	173.7	67.47	139.39	110.97
233	8.034	174.97	68.62	137.44	110.46
234	8.069	175.03	68.18	133.86	111.4
235	8.103	174.63	68.35	137.57	110.99
236	8.138	173.12	70.12	135.85	109.11
237	8.172	173.72	72.53	138.7	110.14
238	8.207	173.73	74.02	139.22	109.61
239	8.241	172.29	73.45	140.23	110.57
240	8.276	173.16	72.57	144.35	111.91
241	8.31	174.97	68.16	141.49	110.12
242	8.345	175.07	71.09	142.49	111.83
243	8.379	175.33	71.26	141.16	111.2
244	8.414	175.65	72.17	142.35	112.65
245	8.448	176.51	70.52	143.51	113.65
246	8.483	176.96	70.07	142.07	113.56
247	8.517	177.6	69.05	143.92	114.73
248	8.552	177.79	68.67	143.64	114.56
249	8.586	177.92	69.36	144.54	114.28
250	8.621	177.34	69.65	142.64	114.75
251	8.655	177.27	69.58	141.55	114.16
252	8.69	177.34	69.32	141.23	113.68
253	8.724	176.38	70.17	133.29	114.55
254	8.759	175.35	71.87	136.91	114.1
255	8.793	174.48	71.9	135.87	113.55
256	8.828	174.15	73.4	135.69	114.93
257	8.862	173.81	73.99	137.09	114.93
258	8.897	174.2	73.35	139.37	115.53
259	8.931	174.73	71.25	138.4	116.21
260	8.966	174.6	71.79	139.05	114.68
261	9.0	174.75	71.65	138.83	113.9
262	9.034	174.93	71.85	139.64	113.61
263	9.069	175.23	71.31	142.23	113.5
264	9.103	175.18	70.96	142.86	113.87
265	9.138	175.03	69.49	148.73	112.94
266	9.172	175.76	69.69	150.48	112.31
267	9.207	175.58	69.21	150.8	111.72
268	9.241	174.97	69.58	148.5	110.53
269	9.276	174.97	70.15	149.33	110.98
270	9.31	174.73	71.46	147.0	112.79
271	9.345	175.08	70.41	146.33	113.36
272	9.379	174.88	69.55	145.28	113.02
273	9.414	175.52	69.9	147.72	113.44
274	9.448	175.27	70.9	147.29	112.93
275	9.483	174.62	70.86	145.66	112.92
276	9.517	174.86	71.56	144.22	110.65
277	9.552	178.18	66.62	138.13	115.3
278	9.586	178.53	64.39	140.74	116.05
279	9.621	179.67	64.5	139.86	115.24
280	9.655	177.25	64.59	143.12	110.68
281	9.69	177.01	63.91	142.08	111.36
282	9.724	176.66	62.95	142.4	112.04
283	9.759	171.84	69.11	140.76	106.96
284	9.793	171.71	68.43	140.46	105.32
285	9.828	172.07	68.02	138.74	105.37
286	9.862	172.04	66.85	136.63	105.07
287	9.897	171.68	67.48	137.1	104.49
288	9.931	171.76	66.01	137.19	104.43
289	9.966	171.32	68.02	139.9	106.99
290	10.0	176.51	63.14	137.49	110.17
291	10.034	179.64	63.92	131.32	115.12
292	10.069	179.09	65.52	131.39	116.01
293	10.103	173.07	72.41	135.12	110.1
294	10.138	173.58	73.71	135.45	111.03
295	10.172	174.56	72.16	136.84	111.74
296	10.207	174.7	73.84	135.98	111.65
297	10.241	174.55	72.48	134.26	111.23
298	10.276	174.7	73.0	133.51	111.55
299	10.31	174.96	73.51	133.59	111.29
