Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	101.45	114.33	99.96
2	0.067	101.93	112.62	99.55
3	0.1	102.36	114.21	100.17
4	0.133	101.77	114.35	100.57
5	0.167	99.6	115.0	102.02
6	0.2	101.04	116.38	101.13
7	0.233	99.27	117.6	101.52
8	0.267	100.24	118.05	102.12
9	0.3	99.98	118.47	103.22
10	0.333	100.14	119.92	102.22
11	0.367	101.67	119.98	102.45
12	0.4	101.57	122.12	102.53
13	0.433	101.5	120.93	100.63
14	0.467	101.64	118.52	100.05
15	0.5	101.74	119.44	99.88
16	0.533	100.8	117.31	98.8
17	0.567	100.86	116.55	98.69
18	0.6	100.45	119.06	97.42
19	0.633	100.88	117.32	98.6
20	0.667	100.83	118.48	99.02
21	0.7	99.63	118.84	98.42
22	0.733	99.73	118.52	97.03
23	0.767	99.69	117.91	96.5
24	0.8	99.44	117.47	95.01
25	0.833	99.02	115.52	94.45
26	0.867	99.17	116.81	94.15
27	0.9	98.93	114.88	92.74
28	0.933	99.57	117.42	94.2
29	0.967	99.53	117.37	92.41
30	1.0	99.33	118.24	92.66
31	1.033	99.21	117.42	92.35
32	1.067	99.34	116.26	92.82
33	1.1	99.48	116.08	92.76
34	1.133	99.72	115.41	93.21
35	1.167	100.21	116.43	93.1
36	1.2	100.75	116.27	93.48
37	1.233	100.73	115.95	93.96
38	1.267	100.51	118.11	92.37
39	1.3	100.12	115.53	93.1
40	1.333	100.01	114.89	92.96
41	1.367	100.24	115.08	92.27
42	1.4	100.21	115.23	93.72
43	1.433	100.24	113.88	95.6
44	1.467	100.27	114.26	95.99
45	1.5	100.01	115.53	97.44
46	1.533	99.94	114.82	98.89
47	1.567	99.86	115.67	98.02
48	1.6	100.04	115.28	98.02
49	1.633	100.04	115.48	97.59
50	1.667	100.35	115.92	97.82
51	1.7	100.25	115.2	97.27
52	1.733	100.57	115.43	96.0
53	1.767	100.44	117.73	96.0
54	1.8	100.47	116.47	96.8
55	1.833	100.39	116.52	96.97
56	1.867	100.27	115.37	95.55
57	1.9	100.5	115.84	96.14
58	1.933	100.25	116.24	95.96
59	1.967	100.06	115.02	95.9
60	2.0	100.26	116.68	95.55
61	2.033	100.05	111.91	93.88
62	2.067	100.02	112.31	93.81
63	2.1	100.14	111.12	93.84
64	2.133	100.73	112.42	93.2
65	2.167	100.9	114.67	93.73
66	2.2	100.96	113.24	93.97
67	2.233	101.01	114.81	93.2
68	2.267	100.76	116.38	93.95
69	2.3	100.97	115.95	93.69
70	2.333	101.06	115.83	93.92
71	2.367	100.76	117.1	93.98
72	2.4	101.09	117.06	94.45
73	2.433	101.12	116.86	93.58
74	2.467	100.78	114.74	94.27
75	2.5	100.96	115.07	95.17
76	2.533	101.25	112.61	94.63
77	2.567	101.2	112.81	93.95
78	2.6	101.14	113.67	94.16
79	2.633	101.35	115.0	94.9
80	2.667	101.69	115.86	95.34
81	2.7	101.36	114.98	95.48
82	2.733	100.89	112.81	95.49
83	2.767	101.35	115.19	96.4
84	2.8	101.18	113.9	98.07
85	2.833	101.02	113.6	98.89
86	2.867	101.13	114.02	99.06
87	2.9	101.21	115.09	99.18
88	2.933	101.44	115.61	98.64
89	2.967	101.02	116.53	98.69
90	3.0	100.46	114.48	100.14
91	3.033	101.41	118.24	98.73
92	3.067	101.4	117.44	98.89
93	3.1	101.35	116.71	98.46
94	3.133	101.39	117.24	98.66
95	3.167	101.78	116.54	99.12
96	3.2	99.69	110.79	101.17
97	3.233	102.14	115.21	99.33
98	3.267	102.34	117.53	99.23
99	3.3	102.3	116.04	98.82
100	3.333	100.1	110.77	101.32
101	3.367	102.49	114.4	98.72
102	3.4	100.17	108.03	100.73
103	3.433	100.11	107.15	101.17
104	3.467	102.24	114.0	100.4
105	3.5	101.98	112.86	100.28
106	3.533	101.2	107.17	103.21
107	3.567	100.45	103.92	103.83
108	3.6	100.6	107.57	104.13
109	3.633	100.67	108.85	104.97
110	3.667	101.75	109.06	106.65
111	3.7	100.06	108.3	107.85
112	3.733	100.07	108.78	107.44
113	3.767	99.61	107.09	109.58
114	3.8	98.8	108.81	107.31
115	3.833	98.49	109.92	105.93
116	3.867	97.88	111.35	105.94
117	3.9	97.61	110.9	105.22
118	3.933	97.1	111.71	103.92
119	3.967	96.92	111.7	105.26
120	4.0	98.23	113.52	104.14
121	4.033	97.84	111.67	103.32
122	4.067	97.4	112.99	103.39
123	4.1	97.39	114.68	104.44
124	4.133	96.64	115.35	104.32
125	4.167	96.87	114.32	104.0
126	4.2	96.57	114.34	102.37
127	4.233	96.6	115.83	100.77
128	4.267	97.12	116.72	101.02
129	4.3	96.61	115.24	98.86
130	4.333	96.84	116.08	98.68
131	4.367	96.92	115.94	98.35
132	4.4	96.86	114.53	96.54
133	4.433	96.6	115.56	94.93
134	4.467	96.38	115.75	94.31
135	4.5	96.02	115.62	94.06
136	4.533	96.3	115.25	93.87
137	4.567	96.05	114.45	92.78
138	4.6	96.36	115.09	93.4
139	4.633	96.75	115.57	92.87
140	4.667	97.56	115.81	94.16
141	4.7	97.99	116.59	94.05
142	4.733	97.92	116.94	94.53
143	4.767	97.83	118.03	93.1
144	4.8	97.74	115.87	92.82
145	4.833	97.33	114.39	92.64
146	4.867	97.15	115.5	93.61
147	4.9	95.28	113.11	93.47
148	4.933	94.4	111.93	96.17
149	4.967	96.36	110.18	100.02
150	5.0	96.95	110.31	101.17
151	5.033	94.85	109.19	102.99
152	5.067	95.03	109.74	103.53
153	5.1	94.89	109.72	104.21
154	5.133	94.64	111.35	104.28
155	5.167	95.48	112.76	104.55
156	5.2	95.83	110.32	103.49
157	5.233	95.14	110.86	102.79
158	5.267	95.67	111.94	102.67
159	5.3	96.04	112.03	102.57
160	5.333	94.38	112.44	102.7
161	5.367	93.54	110.58	101.87
162	5.4	93.3	108.46	101.0
163	5.433	93.94	108.9	102.02
164	5.467	94.66	111.51	102.11
165	5.5	94.81	112.63	101.39
166	5.533	98.33	122.66	102.92
167	5.567	94.76	112.32	102.97
168	5.6	99.14	120.49	104.94
169	5.633	99.89	120.86	105.34
170	5.667	96.33	110.59	104.2
171	5.7	97.57	112.22	103.19
172	5.733	100.06	121.72	103.66
173	5.767	99.82	121.96	101.89
174	5.8	100.2	121.03	102.44
175	5.833	100.24	121.37	101.54
176	5.867	98.3	112.87	102.69
177	5.9	98.74	113.14	101.64
178	5.933	98.69	114.54	101.54
179	5.967	97.86	113.92	101.4
180	6.0	98.29	113.02	101.16
181	6.033	99.0	114.39	103.19
182	6.067	99.07	113.12	101.26
183	6.1	101.19	121.17	102.17
184	6.133	101.69	122.0	102.41
185	6.167	101.27	122.4	101.96
186	6.2	100.84	122.61	101.84
187	6.233	98.13	113.65	102.95
188	6.267	98.45	113.51	102.12
189	6.3	98.68	114.34	102.16
190	6.333	99.48	113.63	102.19
191	6.367	99.58	112.84	102.11
192	6.4	99.49	112.32	102.2
193	6.433	99.6	113.35	101.95
194	6.467	99.74	112.51	101.49
195	6.5	99.3	112.12	102.05
196	6.533	99.62	111.64	102.0
197	6.567	99.42	110.84	102.13
198	6.6	99.31	111.61	102.63
199	6.633	99.45	110.36	103.41
200	6.667	99.05	111.11	101.33
201	6.7	99.21	110.26	103.34
202	6.733	98.82	109.34	104.46
203	6.767	99.37	109.37	105.7
204	6.8	103.02	122.82	107.51
205	6.833	102.5	122.06	108.42
206	6.867	103.12	121.47	108.8
207	6.9	103.79	121.89	109.37
208	6.933	102.66	122.15	106.64
209	6.967	99.38	110.69	104.94
210	7.0	98.48	111.16	105.39
211	7.033	96.35	113.23	105.07
212	7.067	98.43	113.47	104.73
213	7.1	98.18	112.25	103.32
214	7.133	97.53	115.42	103.45
215	7.167	97.08	114.67	105.32
216	7.2	96.72	114.63	105.28
217	7.233	98.71	125.6	103.36
218	7.267	96.86	115.81	106.87
219	7.3	96.67	116.46	107.64
220	7.333	96.46	117.43	107.51
221	7.367	96.83	117.54	107.66
222	7.4	98.89	117.87	108.11
223	7.433	102.75	130.57	109.95
224	7.467	103.67	128.7	110.14
225	7.5	102.43	127.68	110.17
226	7.533	102.79	123.29	109.32
227	7.567	98.94	105.45	103.69
228	7.6	99.56	101.99	102.59
229	7.633	99.16	101.26	101.97
230	7.667	99.63	98.92	101.28
231	7.7	99.71	99.22	98.89
232	7.733	99.88	99.67	100.6
233	7.767	99.3	98.98	99.12
234	7.8	99.31	96.19	100.35
235	7.833	98.28	98.76	102.06
236	7.867	102.04	116.73	107.15
237	7.9	100.18	113.17	107.45
238	7.933	99.84	114.51	107.73
239	7.967	99.59	113.28	106.39
240	8.0	100.24	115.51	107.12
241	8.033	100.63	114.9	104.54
242	8.067	100.76	114.49	104.77
243	8.1	100.74	114.76	104.05
244	8.133	100.01	117.46	102.97
245	8.167	99.92	117.83	104.58
246	8.2	99.96	119.64	104.0
247	8.233	99.44	118.44	103.18
248	8.267	99.95	118.73	104.23
249	8.3	100.05	118.27	102.67
250	8.333	100.16	118.03	104.1
251	8.367	99.55	117.01	101.96
252	8.4	99.54	117.83	101.76
253	8.433	99.74	117.47	102.29
254	8.467	99.31	117.24	102.77
255	8.5	99.16	117.97	102.78
256	8.533	99.07	118.02	103.21
257	8.567	98.93	116.84	103.48
258	8.6	99.0	116.17	103.5
259	8.633	98.99	116.1	102.82
260	8.667	99.15	114.64	102.62
261	8.7	97.51	95.29	99.87
262	8.733	99.31	114.32	102.4
263	8.767	99.12	117.49	101.6
264	8.8	99.09	116.94	101.48
265	8.833	99.04	116.01	100.31
266	8.867	98.98	117.11	101.3
267	8.9	98.69	116.75	100.15
268	8.933	98.69	118.74	99.61
269	8.967	98.8	118.19	99.11
270	9.0	99.21	116.21	97.25
271	9.033	98.77	117.08	98.14
272	9.067	98.17	118.46	98.7
273	9.1	99.23	121.03	98.96
274	9.133	99.48	118.76	96.74
275	9.167	98.25	96.8	92.92
276	9.2	99.2	116.52	95.29
277	9.233	99.36	117.41	94.61
278	9.267	98.8	116.96	94.57
279	9.3	99.25	117.55	93.16
280	9.333	98.37	115.82	91.43
281	9.367	98.71	114.39	89.22
282	9.4	98.79	117.03	89.46
283	9.433	98.79	117.07	91.67
284	9.467	98.28	118.77	92.02
285	9.5	97.81	120.73	91.61
286	9.533	98.4	123.25	91.22
287	9.567	98.27	121.6	91.42
288	9.6	98.12	122.15	91.88
289	9.633	98.21	123.84	93.35
290	9.667	98.16	123.92	93.61
291	9.7	95.55	100.25	90.52
292	9.733	97.82	122.98	92.19
293	9.767	96.29	101.88	89.12
294	9.8	96.18	102.56	88.96
295	9.833	95.94	101.5	88.08
296	9.867	96.06	104.84	89.24
297	9.9	96.71	103.59	89.37
298	9.933	99.54	123.88	91.51
299	9.967	99.07	124.52	91.4
300	10.0	98.49	122.53	91.02
301	10.033	97.78	126.24	87.33
302	10.067	95.98	106.04	89.0
303	10.1	98.01	125.77	91.1
304	10.133	97.93	125.07	90.4
305	10.167	98.22	123.95	90.0
306	10.2	97.79	125.65	91.23
307	10.233	97.92	127.92	91.4
308	10.267	97.8	128.67	94.42
309	10.3	95.35	107.53	91.67
310	10.333	97.45	126.81	93.84
311	10.367	97.35	125.8	92.83
312	10.4	97.01	126.71	92.81
313	10.433	96.65	126.75	92.76
314	10.467	96.26	126.47	90.17
315	10.5	96.1	127.92	89.91
316	10.533	95.55	128.09	89.06
317	10.567	95.13	127.56	86.91
318	10.6	95.19	127.76	89.04
319	10.633	95.33	128.25	89.47
320	10.667	95.39	129.91	90.15
321	10.7	95.28	129.98	91.96
322	10.733	95.35	127.75	91.34
323	10.767	95.17	127.41	90.68
324	10.8	94.96	126.95	91.13
325	10.833	94.94	129.09	90.43
326	10.867	94.19	128.82	89.56
327	10.9	92.91	104.99	83.08
328	10.933	94.06	129.88	89.45
329	10.967	93.9	130.43	89.3
330	11.0	93.37	108.22	83.71
331	11.033	94.37	130.82	90.27
332	11.067	93.83	129.18	89.65
333	11.1	91.26	110.38	89.1
334	11.133	91.41	109.5	92.07
335	11.167	94.2	128.7	96.43
336	11.2	93.34	129.81	98.49
337	11.233	93.96	129.7	98.14
338	11.267	94.45	129.5	98.08
339	11.3	92.8	109.07	92.39
340	11.333	93.02	107.62	92.06
341	11.367	93.75	108.19	92.85
342	11.4	94.32	110.04	92.05
343	11.433	95.82	125.71	94.61
344	11.467	95.75	125.96	95.48
345	11.5	96.38	127.54	94.87
346	11.533	96.58	127.97	94.95
347	11.567	96.78	127.71	96.01
348	11.6	97.08	127.71	96.57
349	11.633	94.65	109.78	96.08
350	11.667	94.81	109.81	96.57
351	11.7	95.74	107.21	97.08
352	11.733	96.14	110.57	96.95
353	11.767	96.01	109.96	96.49
354	11.8	96.39	109.22	95.92
355	11.833	96.32	109.5	96.42
356	11.867	96.33	109.9	96.37
357	11.9	96.29	109.81	95.97
358	11.933	96.15	111.11	94.78
359	11.967	95.73	110.42	93.63
360	12.0	95.47	110.18	92.89
361	12.033	95.78	110.09	92.95
362	12.067	95.85	109.72	93.3
363	12.1	95.73	111.75	93.52
364	12.133	96.07	110.66	93.26
365	12.167	95.72	110.54	92.89
366	12.2	95.64	108.77	92.74
