Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	76.56	56.4	76.16	54.67	76.6	53.36	62.32	50.12	70.83	54.92	60.14	61.53	64.26	69.98	65.45	73.19	69.55	87.22	73.46	74.61	78.19	87.63	36.95	65.01	39.87	75.71	31.57	64.66	29.04	78.6	26.34	58.99	24.56	63.3
2	0.067	76.66	56.26	76.25	54.53	76.71	53.22	62.35	50.02	70.93	54.85	60.17	61.48	64.31	70.04	65.52	73.08	69.62	87.25	73.64	74.34	78.36	87.31	36.98	64.97	39.91	75.74	31.71	64.57	29.21	78.62	26.47	58.9	24.8	63.28
3	0.1	76.77	56.2	76.37	54.5	76.84	53.18	62.34	49.98	71.05	54.87	60.22	61.29	64.31	69.95	65.64	72.63	69.68	86.92	73.49	74.26	78.53	87.19	36.56	64.3	39.45	75.16	31.21	63.72	28.56	77.9	26.05	58.2	24.19	62.59
4	0.133	76.76	56.3	76.34	54.54	76.77	53.3	62.38	49.91	70.93	54.93	60.34	61.15	64.4	70.05	65.79	72.19	69.74	86.91	73.56	74.17	78.54	87.21	37.06	64.37	39.94	75.32	31.64	63.9	29.1	78.26	26.18	58.27	24.41	62.81
5	0.167	76.81	57.23	76.4	55.44	76.78	54.26	62.43	50.53	70.82	55.6	60.31	61.4	64.4	70.11	66.0	72.58	69.81	86.9	73.68	74.52	78.83	87.27	36.99	64.63	39.87	75.49	31.32	63.82	28.76	78.05	26.21	58.12	24.14	62.64
6	0.2	76.93	56.33	76.52	54.52	76.78	53.4	62.79	49.87	70.82	54.95	60.75	60.99	64.65	69.6	66.43	72.2	69.68	86.59	73.78	74.57	78.67	87.61	37.83	64.87	40.63	75.6	31.99	64.77	29.67	78.84	26.81	58.97	24.65	63.51
7	0.233	76.93	56.99	76.58	55.14	76.64	54.1	62.93	50.27	70.41	55.46	60.63	61.38	64.64	69.63	66.18	72.81	69.75	86.38	73.66	74.63	78.56	87.51	37.93	65.07	40.81	75.58	31.78	65.02	29.68	78.82	26.84	59.16	24.72	63.87
8	0.267	77.11	56.6	76.77	54.72	76.66	53.78	63.12	49.98	70.12	55.36	60.69	61.37	64.71	69.72	66.26	72.73	69.85	86.41	73.65	74.47	78.45	87.56	38.36	65.14	41.24	75.66	32.09	65.17	30.16	79.03	27.02	59.17	24.94	64.08
9	0.3	77.39	56.4	77.06	54.51	76.85	53.61	63.3	49.72	70.07	55.2	60.82	61.16	64.74	69.62	66.6	72.42	70.01	86.29	73.92	74.28	78.42	87.4	38.44	65.17	41.25	75.77	32.03	65.05	30.05	79.05	26.78	59.07	24.64	64.03
10	0.333	77.42	56.43	77.11	54.52	76.82	53.69	63.35	49.71	69.88	55.35	60.7	60.98	64.62	69.52	66.39	72.38	69.8	86.2	73.81	74.22	78.3	87.68	38.56	65.05	41.39	75.64	32.14	65.04	30.25	79.01	27.19	59.12	25.1	64.28
11	0.367	77.68	55.9	77.38	53.97	76.95	53.2	63.58	49.3	69.77	55.17	60.91	60.93	64.58	69.58	66.52	72.32	69.76	86.12	73.82	74.17	78.42	87.6	38.56	64.94	41.22	75.63	31.88	64.79	29.92	78.94	26.95	58.75	24.8	64.2
12	0.4	77.69	56.12	77.4	54.21	76.97	53.41	63.55	49.49	69.75	55.38	60.9	61.0	64.4	69.7	66.43	72.08	69.51	85.87	73.75	74.41	78.47	87.82	38.42	64.78	40.99	75.5	31.75	64.58	29.67	78.79	26.73	58.69	24.6	64.21
13	0.433	77.84	55.83	77.55	53.8	76.95	53.17	63.81	48.95	69.46	55.2	60.97	60.9	64.53	69.75	66.47	72.14	69.55	85.89	73.61	74.23	78.03	87.56	38.62	64.44	41.27	75.2	31.93	64.7	30.1	79.01	26.92	58.19	24.89	64.08
14	0.467	78.01	55.61	77.74	53.5	77.0	52.96	64.05	48.57	69.33	55.07	61.13	60.88	64.59	69.79	66.53	72.32	69.52	85.92	73.63	74.05	77.86	87.16	38.7	64.47	41.31	75.28	31.84	64.86	30.13	79.29	26.75	58.12	24.87	64.34
15	0.5	77.96	55.46	77.71	53.32	76.9	52.81	64.1	48.4	69.19	54.94	61.14	60.87	64.53	69.69	66.58	72.47	69.36	85.88	73.67	74.41	77.86	87.42	38.61	64.86	41.18	75.62	31.5	65.37	29.84	79.75	26.53	58.57	24.58	64.8
16	0.533	77.89	55.6	77.7	53.39	76.76	52.93	64.2	48.31	68.93	54.92	60.97	60.93	64.51	69.65	66.4	72.71	69.19	85.86	73.92	74.26	77.72	87.11	38.71	65.3	41.42	76.0	31.43	66.12	30.17	80.41	26.5	59.14	24.89	65.45
17	0.567	78.01	55.52	77.82	53.24	76.78	52.88	64.4	48.12	68.83	54.91	61.13	60.89	64.73	69.65	66.58	72.76	69.57	85.89	73.99	73.89	77.72	86.81	39.02	65.39	41.78	76.09	31.65	66.36	30.52	80.69	26.56	59.12	25.07	65.59
18	0.6	77.93	55.47	77.79	53.17	76.67	52.84	64.53	47.98	68.69	54.8	61.2	60.73	64.57	69.35	66.86	72.64	69.6	85.55	74.09	73.92	78.31	86.9	38.72	64.72	41.3	75.39	31.21	66.01	29.95	80.27	26.41	58.79	24.62	65.23
19	0.633	77.92	55.45	77.76	53.08	76.54	52.87	64.61	47.88	68.47	54.94	61.3	60.79	64.64	69.4	66.88	72.82	69.5	85.51	74.26	73.95	78.16	86.6	39.07	64.74	41.67	75.39	31.32	65.84	30.14	80.16	26.4	58.32	24.66	65.09
20	0.667	77.89	55.47	77.76	53.1	76.48	52.9	64.73	47.88	68.41	54.96	61.4	60.77	64.69	69.33	66.94	72.76	69.51	85.36	74.25	74.05	78.12	86.7	39.15	64.58	41.72	75.2	31.24	65.73	30.05	80.02	26.31	58.17	24.48	64.95
21	0.7	77.97	55.57	77.89	53.09	76.5	52.99	65.13	47.62	68.37	54.83	61.62	60.46	64.9	69.06	67.16	72.6	69.58	85.28	74.14	74.04	78.21	86.86	39.48	64.61	42.02	75.26	31.32	66.02	30.28	80.32	26.53	58.2	24.59	65.01
22	0.733	77.96	55.4	77.91	52.89	76.45	52.82	65.18	47.41	68.25	54.7	61.64	60.39	64.78	69.14	67.27	72.47	69.65	85.36	74.38	73.95	78.32	86.71	39.36	64.45	41.81	75.21	31.32	66.02	30.25	80.5	26.38	58.16	24.61	65.08
23	0.767	77.92	55.28	77.89	52.73	76.36	52.7	65.3	47.24	68.1	54.59	61.72	60.35	64.81	69.18	67.48	72.4	69.85	85.44	74.48	73.77	78.42	86.54	39.53	64.4	41.94	75.18	31.46	66.06	30.45	80.58	26.5	58.06	24.76	64.97
24	0.8	77.93	55.19	77.88	52.57	76.34	52.62	65.26	47.01	67.99	54.47	61.59	60.19	64.86	69.18	67.55	72.26	70.02	85.55	74.65	73.38	78.53	86.47	39.7	64.49	42.23	75.33	31.77	66.35	30.98	80.9	26.92	58.13	25.36	65.11
25	0.833	77.88	55.08	77.87	52.47	76.3	52.51	65.27	46.89	67.89	54.29	61.34	59.95	64.89	68.86	67.29	72.41	70.12	85.53	74.47	73.13	78.27	86.07	39.64	64.51	42.39	75.26	31.82	66.51	31.25	80.87	27.23	58.52	25.77	65.3
26	0.867	77.82	55.0	77.79	52.36	76.21	52.43	65.2	46.79	67.76	54.24	61.22	60.02	64.76	68.83	67.2	72.59	69.97	85.43	74.36	73.28	78.32	86.23	39.46	64.55	42.2	75.24	31.57	66.56	31.0	80.81	27.19	58.36	25.63	65.19
27	0.9	77.74	54.89	77.74	52.2	76.1	52.28	65.25	46.59	67.57	54.07	61.2	60.04	64.67	68.83	67.42	72.69	70.2	85.5	74.48	72.97	78.46	85.69	39.26	64.41	41.94	75.1	31.35	66.55	30.77	80.8	27.12	58.26	25.58	65.01
28	0.933	77.77	54.79	77.77	52.07	76.05	52.21	65.41	46.51	67.51	54.13	61.55	60.1	64.63	68.84	67.65	72.7	70.15	85.33	74.55	73.32	78.61	86.0	39.47	64.27	41.89	74.98	31.24	66.12	30.36	80.47	26.85	57.72	25.14	64.72
29	0.967	77.79	54.61	77.77	51.86	76.03	52.04	65.41	46.28	67.41	53.97	61.53	59.96	64.62	68.92	67.78	72.45	70.39	85.43	74.79	73.16	78.78	85.9	39.65	64.22	42.1	75.01	31.74	66.35	30.99	80.82	27.15	57.86	25.73	64.94
30	1.0	77.76	54.54	77.78	51.78	75.99	51.95	65.58	46.17	67.37	53.84	61.66	59.91	64.58	68.73	67.73	72.5	70.26	85.25	74.72	73.17	78.72	85.97	39.68	64.05	42.0	74.81	31.63	66.15	30.75	80.58	27.1	57.69	25.55	64.81
31	1.033	77.65	54.42	77.67	51.67	75.9	51.82	65.47	46.11	67.26	53.69	61.53	59.92	64.55	68.72	67.7	72.47	70.36	85.31	74.82	72.97	78.61	85.76	39.71	64.07	42.08	74.79	31.78	66.35	30.95	80.73	27.14	57.93	25.63	64.92
32	1.067	77.64	54.4	77.63	51.62	75.87	51.8	65.36	46.04	67.25	53.69	61.47	60.01	64.57	68.71	67.69	72.82	70.42	85.39	74.89	72.95	78.64	85.62	39.51	64.28	41.97	74.97	31.46	66.53	30.72	80.89	26.81	58.01	25.37	65.12
33	1.1	77.61	54.38	77.6	51.59	75.84	51.77	65.34	46.03	67.22	53.69	61.5	60.08	64.5	68.8	67.68	72.84	70.3	85.43	74.87	73.08	78.61	85.66	39.49	64.26	41.88	74.97	31.46	66.54	30.66	80.94	26.7	58.0	25.26	65.15
34	1.133	77.61	54.32	77.6	51.55	75.84	51.71	65.33	46.04	67.22	53.68	61.57	60.1	64.43	68.89	67.79	72.76	70.35	85.46	74.94	73.04	78.72	85.45	39.46	64.21	41.73	74.97	31.48	66.27	30.51	80.77	26.64	57.87	25.15	65.01
35	1.167	77.53	54.33	77.54	51.61	75.76	51.7	65.31	46.25	67.18	53.76	61.57	60.38	64.33	68.99	67.51	73.07	70.13	85.45	74.82	73.45	78.51	85.7	39.48	64.51	41.68	75.17	31.48	66.58	30.43	80.98	26.66	58.23	25.17	65.41
36	1.2	77.56	54.23	77.54	51.52	75.77	51.62	65.23	46.2	67.18	53.8	61.55	60.45	64.3	69.06	67.54	73.07	70.08	85.35	74.85	73.5	78.5	85.53	39.3	64.45	41.52	75.12	31.26	66.5	30.19	80.93	26.38	58.13	24.86	65.38
37	1.233	77.59	54.21	77.57	51.49	75.8	51.6	65.26	46.17	67.17	53.78	61.57	60.46	64.3	69.08	67.59	73.13	70.1	85.43	74.92	73.54	78.59	85.55	39.28	64.55	41.48	75.24	31.17	66.53	30.07	80.99	26.26	58.15	24.7	65.4
38	1.267	77.58	54.1	77.56	51.32	75.75	51.5	65.35	45.9	67.12	53.64	61.59	60.17	64.33	68.83	67.53	72.84	69.96	85.12	74.89	73.43	78.52	85.79	39.54	64.28	41.77	74.96	31.47	66.54	30.53	80.98	26.63	57.87	25.23	65.32
39	1.3	77.51	54.26	77.49	51.44	75.69	51.63	65.22	45.93	67.09	53.68	61.47	60.22	64.39	68.88	67.38	73.0	69.96	85.24	74.92	73.37	78.46	85.46	39.55	64.54	41.91	75.22	31.41	66.69	30.58	81.14	26.53	57.93	25.2	65.41
40	1.333	77.51	54.21	77.48	51.37	75.7	51.57	65.16	45.8	67.06	53.6	61.41	60.15	64.31	68.96	67.37	72.91	69.9	85.38	74.86	73.35	78.39	85.48	39.38	64.51	41.73	75.28	31.29	66.68	30.43	81.27	26.28	57.93	24.98	65.42
41	1.367	77.58	54.23	77.54	51.4	75.76	51.61	65.2	45.86	67.14	53.68	61.47	60.22	64.43	69.07	67.54	72.91	70.02	85.51	74.9	73.42	78.41	85.64	39.36	64.38	41.75	75.17	31.33	66.7	30.54	81.3	26.39	57.82	25.06	65.31
42	1.4	77.56	54.28	77.55	51.46	75.72	51.64	65.29	45.94	67.13	53.7	61.59	60.35	64.5	68.98	67.7	73.12	70.12	85.41	75.3	73.55	78.81	85.55	39.36	64.39	41.71	75.13	31.08	66.68	30.22	81.23	26.04	57.73	24.5	65.2
43	1.433	77.58	54.44	77.55	51.64	75.73	51.76	65.17	46.16	67.12	53.83	61.49	60.7	64.49	69.05	67.33	73.66	69.89	85.39	75.47	73.83	78.8	85.41	39.47	64.97	41.89	75.59	31.06	67.08	30.26	81.51	25.72	57.95	24.28	65.51
44	1.467	77.57	54.48	77.56	51.67	75.71	51.78	65.13	46.19	67.09	53.86	61.49	60.77	64.41	69.02	67.3	73.8	69.7	85.29	75.43	74.16	78.74	85.46	39.2	65.23	41.58	75.81	30.56	67.44	29.73	81.85	25.12	58.35	23.66	65.92
45	1.5	77.56	54.49	77.6	51.67	75.69	51.79	65.28	46.09	67.07	53.82	61.74	60.56	64.34	68.97	67.54	73.27	69.65	85.14	75.6	74.06	79.06	85.56	39.2	64.68	41.36	75.42	30.37	66.86	29.27	81.52	24.41	57.71	22.77	65.34
46	1.533	77.53	54.48	77.62	51.71	75.65	51.75	65.39	46.17	67.04	53.77	61.86	60.58	64.31	68.95	67.48	73.22	69.49	85.12	75.68	74.2	79.0	85.5	39.41	64.91	41.46	75.65	30.42	66.96	29.2	81.64	24.21	58.0	22.49	65.53
47	1.567	77.57	54.37	77.67	51.57	75.69	51.65	65.52	46.02	67.06	53.65	61.96	60.39	64.44	68.88	67.86	72.95	69.86	85.18	75.82	73.98	79.29	85.56	39.46	64.72	41.5	75.52	30.52	66.87	29.33	81.59	24.48	57.79	22.65	65.21
48	1.6	77.59	54.25	77.66	51.41	75.67	51.58	65.57	45.86	67.04	53.61	62.16	60.21	64.43	68.9	68.18	72.6	70.04	85.11	76.06	73.67	79.59	85.23	39.8	64.41	41.69	75.31	30.98	66.4	29.62	81.29	24.78	57.24	22.94	64.81
