Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.034	173.46	61.08	120.4
2	0.069	177.48	52.25	114.38
3	0.103	179.65	59.27	102.81
4	0.138	178.41	57.18	104.9
5	0.172	177.3	59.04	97.6
6	0.207	176.11	61.23	121.33
7	0.241	178.98	68.69	124.37
8	0.276	177.86	83.55	149.6
9	0.31	178.32	93.74	119.38
10	0.345	176.22	97.76	119.35
11	0.379	173.92	104.58	111.63
12	0.414	177.12	104.39	135.08
13	0.448	179.51	97.29	142.82
14	0.483	179.73	94.21	138.24
15	0.517	177.79	94.46	131.11
16	0.552	177.78	94.88	130.26
17	0.586	176.4	98.23	131.68
18	0.621	174.72	99.55	132.59
19	0.655	172.74	96.68	129.25
20	0.69	172.32	95.12	130.91
21	0.724	171.5	94.4	128.15
22	0.759	171.15	97.03	114.25
23	0.793	170.65	96.91	118.4
24	0.828	170.7	95.72	116.88
25	0.862	171.93	94.2	120.18
26	0.897	171.91	93.5	118.19
27	0.931	170.75	89.9	111.49
28	0.966	171.37	89.27	110.28
29	1.0	171.18	89.6	105.7
30	1.034	170.03	89.2	109.23
31	1.069	169.69	89.3	108.24
32	1.103	170.06	89.02	110.28
33	1.138	170.47	88.99	112.7
34	1.172	170.58	87.81	116.62
35	1.207	170.74	88.29	116.73
36	1.241	171.04	88.33	117.0
37	1.276	171.47	87.84	117.71
38	1.31	170.97	88.15	115.99
39	1.345	172.63	83.4	102.11
40	1.379	173.84	82.63	101.76
41	1.414	172.25	87.97	108.31
42	1.448	174.23	86.75	108.27
43	1.483	173.48	85.46	125.76
44	1.517	173.28	84.07	120.38
45	1.552	173.4	83.42	121.03
46	1.586	174.38	81.72	105.9
47	1.621	171.46	85.75	65.39
48	1.655	172.6	86.37	60.2
49	1.69	175.81	84.59	58.61
50	1.724	175.84	85.31	65.0
51	1.759	172.34	88.96	60.77
52	1.793	175.49	85.5	60.48
53	1.828	176.1	85.06	67.2
54	1.862	175.57	85.71	68.87
55	1.897	175.37	85.21	68.53
56	1.931	175.76	85.06	66.82
57	1.966	175.11	85.89	66.98
58	2.0	174.84	85.3	64.45
59	2.034	175.15	84.95	66.03
60	2.069	175.19	84.21	70.12
61	2.103	176.17	83.28	69.11
62	2.138	176.45	82.62	69.36
