Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.034	20.23	47.34	18.28	45.0	16.74	52.17	19.44	48.22	15.45	67.17	30.7	53.06	23.02	68.52	44.78	45.41	35.91	66.53	44.22	37.16	29.31	54.19	56.8	57.64	53.11	72.17	67.94	47.9	67.94	62.73	85.26	68.92	83.15	76.45
2	0.069	22.0	45.6	19.99	44.17	18.86	50.07	21.83	48.9	19.36	65.18	32.64	52.61	27.41	67.56	44.97	43.94	38.31	66.76	43.42	34.26	28.94	52.32	57.82	57.33	56.19	70.65	69.43	48.7	69.71	62.2	83.88	67.3	81.48	75.59
3	0.103	23.91	49.56	21.72	47.65	20.7	54.18	22.8	50.92	20.77	68.5	33.64	52.74	28.98	69.04	45.43	43.49	38.56	67.21	44.01	34.16	29.35	52.01	58.78	57.15	57.76	70.86	68.44	43.5	69.73	57.89	83.78	62.85	82.06	70.77
4	0.138	23.06	47.94	20.68	46.58	20.08	52.68	20.76	50.9	19.76	67.82	32.4	52.37	28.13	68.74	45.9	43.43	39.29	67.55	44.56	35.1	30.07	51.46	58.18	55.65	57.88	69.4	66.73	38.96	69.23	53.73	81.18	54.04	81.45	62.79
5	0.172	22.81	48.24	20.29	46.78	19.6	53.08	20.26	50.92	19.07	68.21	31.9	52.0	27.52	67.91	44.76	43.27	38.43	66.52	43.14	35.11	29.98	51.24	57.73	55.1	57.22	68.18	64.45	35.41	67.37	48.07	77.63	47.94	78.17	55.2
6	0.207	22.88	48.08	20.01	46.62	19.61	53.18	19.23	50.34	18.85	68.13	30.36	51.64	26.85	67.36	43.41	43.87	37.75	65.9	41.9	36.24	29.79	50.47	55.59	52.44	55.7	65.43	60.65	34.54	64.54	47.38	75.53	39.61	77.39	47.92
7	0.241	20.05	46.17	16.99	44.66	16.7	51.82	16.59	48.88	16.48	68.06	28.69	51.39	25.36	67.25	42.73	43.14	36.59	63.99	41.19	36.01	28.74	48.25	55.83	51.86	56.16	65.56	61.22	32.16	65.77	46.14	78.6	36.77	80.75	45.8
8	0.276	18.8	47.07	15.56	45.55	14.96	53.26	15.75	49.56	14.48	70.17	27.63	50.94	23.93	68.16	41.54	41.76	34.78	62.46	38.53	36.38	27.49	44.16	55.62	48.5	55.75	63.46	60.97	31.67	66.84	48.85	77.49	31.3	80.54	44.21
9	0.31	19.97	46.13	17.19	45.38	16.42	51.17	17.57	50.64	16.07	67.28	29.66	51.97	25.59	66.61	40.56	39.73	35.2	58.0	36.2	32.92	26.77	38.68	57.19	52.0	57.12	65.03	64.8	37.35	68.11	51.77	75.29	44.35	76.76	55.61
10	0.345	18.53	45.92	16.19	44.29	14.49	51.47	17.61	48.22	13.69	67.63	29.35	50.72	22.27	65.72	40.77	38.85	34.56	56.16	34.08	31.15	28.35	36.18	56.65	54.36	53.8	68.83	66.61	40.09	69.77	56.41	82.32	56.34	84.61	68.01
11	0.379	19.55	45.45	17.15	43.9	15.26	50.83	17.96	48.75	13.9	67.91	29.61	53.53	22.49	67.64	40.39	39.12	34.66	56.29	34.39	30.14	29.27	36.92	57.73	60.89	54.49	75.06	69.0	47.92	69.87	62.96	85.23	66.52	84.52	78.12
12	0.414	20.84	45.89	18.52	44.38	16.38	51.1	20.04	49.13	15.75	67.76	30.79	53.72	24.9	67.35	41.05	38.5	36.04	56.61	34.79	29.97	30.45	37.68	57.06	60.6	54.97	74.11	67.31	54.1	70.86	68.09	82.6	66.43	85.94	79.25
13	0.448	21.72	46.21	19.39	45.12	17.92	51.21	20.92	50.19	18.02	67.27	31.62	54.1	26.69	67.44	42.81	41.15	38.31	59.68	38.05	33.4	33.3	40.66	57.18	58.95	55.8	72.15	68.52	54.54	71.71	68.41	83.13	66.28	86.17	78.3
14	0.483	22.58	46.53	20.23	45.63	19.05	51.39	21.39	50.72	18.99	67.08	32.17	54.18	27.41	67.35	43.74	42.17	39.38	59.95	38.78	34.83	33.93	40.7	58.26	58.73	57.03	71.86	69.66	52.65	72.57	66.84	84.08	65.19	86.62	76.84
15	0.517	23.54	46.5	21.13	45.73	20.11	51.33	21.74	51.04	19.66	67.01	32.15	54.62	27.67	67.34	43.57	43.07	39.65	59.35	38.58	36.14	33.96	40.67	57.74	59.12	56.55	72.02	70.11	52.32	72.35	66.38	84.05	66.51	85.28	77.97
16	0.552	23.57	46.53	21.14	45.8	20.19	51.35	21.71	51.18	19.73	67.04	32.14	54.79	27.75	67.41	43.58	43.04	39.77	59.02	38.55	36.2	33.93	40.46	57.78	59.22	56.6	72.08	70.43	52.43	72.41	66.54	84.12	66.75	84.93	78.23
17	0.586	22.6	45.85	20.14	44.92	18.89	50.71	20.94	50.27	18.14	66.66	31.71	54.84	26.27	66.78	43.03	42.91	38.21	57.23	36.87	35.86	32.62	39.44	56.56	59.59	54.65	72.07	69.26	53.71	71.41	66.85	81.54	66.61	83.55	78.26
18	0.621	22.56	45.52	20.17	44.61	18.81	50.31	20.71	50.09	17.7	66.26	31.21	54.77	25.37	66.33	42.8	43.04	37.43	56.62	36.67	35.92	32.29	39.3	55.79	59.81	53.66	72.26	68.78	53.53	71.03	66.62	82.33	66.68	84.32	78.45
19	0.655	21.8	45.29	19.34	44.21	17.99	50.14	19.61	49.48	16.46	66.15	30.43	54.3	23.99	66.16	42.66	43.16	36.69	57.08	36.35	36.18	31.7	40.16	55.12	59.34	52.45	71.94	68.36	52.48	69.81	65.45	81.91	66.56	83.0	77.81
20	0.69	21.82	44.83	19.39	43.77	18.03	49.67	19.63	49.08	16.41	65.63	30.51	53.87	23.77	65.74	42.9	43.3	36.58	57.43	36.62	36.42	31.76	40.56	54.97	58.9	52.14	71.45	67.9	52.44	69.49	65.23	81.3	66.31	82.97	77.38
21	0.724	21.81	44.76	19.36	43.65	18.04	49.54	19.46	48.92	16.26	65.44	30.55	53.81	23.55	66.05	43.21	43.37	36.54	58.2	36.79	36.77	31.86	41.08	55.05	58.99	52.08	71.59	67.17	52.42	68.75	65.23	80.08	67.09	81.87	77.88
22	0.759	22.03	44.73	19.7	43.63	18.31	49.46	19.76	49.21	16.43	65.54	30.96	54.31	23.6	66.56	43.36	43.58	36.58	58.23	36.62	37.22	32.25	41.14	54.92	59.77	51.44	72.07	66.35	50.6	66.05	63.15	80.03	67.15	78.36	77.48
23	0.793	22.12	44.75	19.78	43.64	18.41	49.42	19.8	49.21	16.44	65.42	30.96	54.46	23.44	66.71	43.63	44.06	36.62	58.68	36.93	37.69	32.52	41.49	55.07	59.69	51.63	72.13	66.68	51.31	67.01	64.09	79.96	67.64	79.49	78.16
24	0.828	22.25	44.71	19.95	43.62	18.59	49.37	20.04	49.17	16.63	65.31	31.3	54.37	23.62	66.84	44.04	44.44	36.97	59.12	37.12	38.29	32.78	41.65	55.69	59.42	52.17	72.01	67.28	50.32	67.63	63.62	80.5	67.27	79.92	77.85
25	0.862	21.96	44.66	19.55	43.63	18.43	49.4	19.52	49.27	16.72	65.44	30.87	54.16	23.99	66.63	44.07	44.54	37.32	59.16	37.27	38.23	32.87	41.5	55.47	58.78	52.64	71.38	66.72	50.15	68.1	63.55	79.96	66.35	80.65	77.1
26	0.897	22.08	44.79	19.81	43.68	18.63	49.39	19.83	49.32	16.94	65.24	31.11	54.47	23.85	67.01	44.39	45.06	37.11	60.07	37.62	39.08	32.79	42.28	55.39	59.34	52.1	71.87	66.64	50.35	66.48	63.66	81.43	67.18	79.33	77.35
27	0.931	21.9	44.78	19.58	43.55	18.42	49.36	19.49	49.04	16.48	65.23	31.02	54.19	23.35	67.34	44.47	45.36	36.88	61.16	37.44	39.51	32.14	42.81	55.41	59.25	51.88	72.03	66.81	49.27	66.54	62.7	80.38	67.71	78.5	77.57
28	0.966	21.87	44.79	19.71	43.62	18.37	49.32	19.88	49.22	16.57	65.14	31.24	54.15	23.23	67.29	44.42	45.35	36.54	61.65	37.23	39.92	31.99	43.41	55.34	59.24	51.6	71.99	66.35	48.78	65.98	62.2	80.56	67.46	78.38	77.45
29	1.0	21.57	44.68	19.36	43.44	18.1	49.23	19.38	49.12	16.24	65.22	31.04	54.18	22.88	67.46	44.46	45.47	36.23	61.89	37.25	40.54	31.8	43.47	55.45	59.41	51.48	72.15	66.1	48.35	64.88	61.53	80.8	67.64	77.28	77.27
30	1.034	21.33	45.05	19.11	43.69	17.71	49.63	19.15	49.06	15.61	65.55	30.67	54.21	22.36	67.73	44.19	45.97	35.88	62.41	37.16	41.21	31.6	43.99	55.35	59.49	51.34	72.49	66.11	49.06	65.52	62.53	80.6	68.35	78.04	78.08
31	1.069	21.29	45.0	19.09	43.66	17.66	49.53	19.18	49.15	15.48	65.46	30.6	54.36	22.12	67.7	44.22	46.43	35.63	62.58	37.44	41.77	31.57	44.35	55.01	59.36	50.72	72.2	66.07	49.55	64.51	62.75	80.38	68.48	76.34	78.3
32	1.103	21.05	44.97	18.86	43.6	17.38	49.54	19.16	48.96	15.29	65.42	30.57	54.16	21.97	67.56	44.16	46.35	35.35	62.76	37.21	41.66	31.44	44.63	54.83	58.95	50.47	71.82	65.69	49.37	64.37	62.61	79.86	67.73	76.32	77.62
33	1.138	21.21	45.18	19.08	43.82	17.45	49.73	19.57	49.23	15.46	65.61	30.88	54.58	22.17	67.78	44.32	46.7	35.43	62.98	37.32	41.99	31.47	44.77	54.97	59.09	50.67	71.83	65.59	49.94	64.97	62.79	79.76	67.87	77.38	77.64
34	1.172	21.34	45.07	19.15	43.79	17.65	49.59	19.48	49.26	15.67	65.46	30.56	54.52	22.45	67.89	43.91	46.85	35.86	63.44	37.5	42.35	31.86	45.06	55.04	58.89	51.33	71.84	65.76	50.34	66.48	63.53	79.12	67.76	78.83	77.84
35	1.207	21.24	45.05	18.99	43.74	17.62	49.52	19.27	49.1	15.69	65.3	30.38	54.42	22.46	67.84	43.7	47.03	35.86	63.51	37.63	42.35	32.01	44.79	55.42	58.8	51.9	71.95	66.51	50.37	67.61	63.87	79.27	68.33	79.74	78.53
36	1.241	21.05	44.99	18.81	43.7	17.47	49.47	19.04	49.1	15.6	65.24	30.26	54.53	22.42	67.79	43.65	47.01	35.88	63.25	37.45	42.11	31.91	44.6	55.45	58.91	51.98	71.96	66.26	50.41	67.34	63.75	79.67	68.57	79.95	78.44
37	1.276	21.24	45.23	19.1	43.93	17.64	49.69	19.56	49.23	15.89	65.28	30.62	54.67	22.71	67.55	43.71	47.2	36.16	62.9	37.29	42.14	32.08	44.8	55.17	59.1	51.52	71.84	66.05	50.79	66.63	63.81	79.84	68.68	79.41	78.4
38	1.31	21.23	45.01	19.05	43.75	17.67	49.48	19.27	49.23	15.8	65.22	30.47	54.63	22.68	67.58	43.85	47.3	36.3	62.62	37.5	41.93	32.09	44.37	55.26	58.66	51.84	71.45	65.72	49.11	66.94	62.46	79.35	66.78	79.71	76.72
39	1.345	23.21	44.82	21.2	44.25	19.94	48.65	21.42	50.51	18.47	63.77	31.92	54.88	25.19	67.19	43.24	46.49	37.48	62.47	37.01	41.56	31.58	43.65	56.75	58.45	54.16	70.33	67.23	47.45	67.74	60.25	77.66	63.94	77.0	74.34
