Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	79.37	97.5	103.07
2	0.067	79.1	96.89	103.65
3	0.1	79.05	97.75	105.09
4	0.133	80.66	100.37	102.31
5	0.167	80.06	106.67	104.0
6	0.2	81.88	103.9	101.75
7	0.233	81.42	102.89	99.82
8	0.267	79.28	101.58	103.27
9	0.3	77.8	102.43	104.39
10	0.333	78.87	102.99	104.76
11	0.367	78.91	102.76	105.37
12	0.4	79.01	103.21	104.18
13	0.433	79.35	103.37	102.59
14	0.467	79.78	105.16	103.34
15	0.5	79.47	105.57	102.51
16	0.533	82.11	104.49	100.34
17	0.567	78.67	102.93	103.25
18	0.6	79.02	96.98	105.56
19	0.633	82.12	93.51	105.42
20	0.667	79.88	88.17	108.09
21	0.7	77.51	77.45	106.17
22	0.733	78.33	74.19	109.35
23	0.767	79.35	73.0	112.73
24	0.8	79.2	74.94	113.51
25	0.833	80.23	75.5	113.13
26	0.867	79.56	79.14	111.86
27	0.9	80.38	88.5	117.18
28	0.933	80.73	89.67	112.6
29	0.967	81.14	96.84	110.13
30	1.0	84.09	112.63	109.63
31	1.033	84.91	117.24	108.11
32	1.067	83.26	119.32	110.18
33	1.1	82.2	118.86	109.86
34	1.133	81.5	116.15	107.79
35	1.167	80.5	114.11	107.36
36	1.2	80.15	112.41	114.07
37	1.233	80.17	106.3	109.7
38	1.267	79.94	108.51	110.05
39	1.3	79.44	121.73	115.12
40	1.333	81.35	126.96	110.14
41	1.367	84.12	131.92	111.4
42	1.4	84.92	132.38	110.52
43	1.433	84.57	131.47	110.3
44	1.467	84.33	132.93	108.92
45	1.5	84.64	133.15	108.64
46	1.533	83.96	131.47	110.41
47	1.567	84.13	130.86	111.05
48	1.6	83.55	130.78	112.03
49	1.633	83.55	131.36	113.56
50	1.667	83.02	131.05	113.41
51	1.7	83.04	129.21	115.19
52	1.733	82.51	128.74	115.08
53	1.767	82.97	127.3	116.85
54	1.8	82.95	126.78	117.47
55	1.833	82.9	126.38	117.86
56	1.867	82.73	127.17	118.24
57	1.9	82.37	124.69	118.65
58	1.933	81.8	125.47	119.08
59	1.967	81.46	126.36	119.39
60	2.0	80.66	125.94	119.4
61	2.033	80.85	125.16	118.85
62	2.067	80.38	122.75	119.25
63	2.1	80.63	121.79	120.29
64	2.133	80.51	121.48	119.41
65	2.167	82.38	121.05	119.9
66	2.2	82.76	120.29	120.71
67	2.233	83.68	118.39	121.61
68	2.267	84.22	118.93	121.58
69	2.3	84.49	119.97	121.47
70	2.333	84.57	116.5	120.46
71	2.367	84.09	114.8	120.68
72	2.4	84.16	114.29	120.25
73	2.433	84.04	117.03	121.14
74	2.467	83.68	116.09	118.71
75	2.5	83.67	116.37	118.43
76	2.533	83.24	115.91	115.0
77	2.567	85.44	116.79	114.86
78	2.6	85.9	115.03	114.01
79	2.633	85.91	115.01	112.0
80	2.667	84.45	108.62	112.77
81	2.7	84.56	108.79	110.38
82	2.733	79.42	110.95	108.11
83	2.767	78.89	111.81	106.72
84	2.8	78.09	111.13	105.21
85	2.833	81.84	118.7	103.68
86	2.867	83.88	119.11	112.0
87	2.9	82.87	119.95	112.45
88	2.933	82.63	119.51	114.24
89	2.967	83.14	119.6	113.41
90	3.0	84.13	119.79	113.26
91	3.033	83.0	118.44	109.49
92	3.067	84.01	121.09	109.37
93	3.1	83.58	111.01	107.27
94	3.133	82.97	110.02	108.27
95	3.167	84.03	117.68	109.38
96	3.2	83.66	116.05	108.35
97	3.233	83.94	118.31	106.65
98	3.267	82.67	115.13	105.87
99	3.3	83.63	117.7	108.09
100	3.333	82.69	120.0	107.62
101	3.367	81.39	123.46	105.61
102	3.4	76.41	117.88	97.22
103	3.433	76.82	116.52	97.59
104	3.467	78.14	114.83	96.55
105	3.5	79.55	111.06	95.99
106	3.533	81.23	106.26	98.31
107	3.567	79.98	99.86	98.32
108	3.6	81.58	89.62	103.26
109	3.633	79.97	104.33	97.23
110	3.667	78.35	106.74	98.71
111	3.7	78.78	108.52	100.34
112	3.733	79.44	110.36	101.32
113	3.767	79.24	111.53	99.5
114	3.8	80.77	111.33	98.22
115	3.833	81.97	109.58	99.01
116	3.867	81.74	106.07	100.48
117	3.9	81.91	105.36	100.57
118	3.933	82.56	104.54	99.41
119	3.967	83.54	106.65	99.11
120	4.0	84.62	106.34	98.26
121	4.033	84.84	107.92	98.3
122	4.067	86.12	106.74	96.78
123	4.1	85.92	107.65	96.1
124	4.133	85.2	105.68	96.44
125	4.167	84.82	106.72	95.58
126	4.2	85.08	106.35	94.12
127	4.233	86.06	103.94	95.31
