Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	1.04	55.92	101.48
2	0.067	9.05	60.92	100.15
3	0.1	23.55	20.83	94.72
4	0.133	4.59	40.19	97.01
5	0.167	4.89	39.51	99.94
6	0.2	9.11	53.06	98.32
7	0.233	5.61	39.46	98.12
8	0.267	22.16	47.88	96.27
9	0.3	4.18	71.5	99.85
10	0.333	12.09	46.11	95.01
11	0.367	13.54	46.32	94.0
12	0.4	4.9	43.55	95.67
13	0.433	11.29	40.09	97.44
14	0.467	7.86	45.06	94.93
15	0.5	17.09	46.58	90.49
16	0.533	19.06	63.23	90.01
17	0.567	15.6	59.96	94.12
18	0.6	8.83	59.18	90.62
19	0.633	2.75	41.45	90.52
20	0.667	10.24	75.35	84.56
21	0.7	0.41	53.12	90.97
22	0.733	20.14	52.72	91.25
23	0.767	20.0	45.03	85.66
24	0.8	10.83	36.52	83.41
25	0.833	12.46	39.78	84.71
26	0.867	12.86	36.1	85.03
27	0.9	17.34	41.96	79.51
28	0.933	13.27	43.23	63.16
29	0.967	19.2	46.44	79.79
30	1.0	3.71	48.73	86.53
31	1.033	8.51	48.27	86.14
32	1.067	15.02	42.44	84.26
33	1.1	12.33	44.01	80.86
34	1.133	18.4	37.09	84.55
35	1.167	18.44	35.14	89.05
36	1.2	15.26	45.9	81.84
37	1.233	17.52	60.39	84.34
38	1.267	5.31	58.16	86.26
39	1.3	7.93	56.5	86.38
40	1.333	90.0	158.78	86.91
41	1.367	26.8	13.79	84.54
42	1.4	26.51	13.16	82.23
43	1.433	1.86	52.3	76.89
44	1.467	10.63	55.74	76.36
45	1.5	5.7	51.29	79.54
46	1.533	12.26	48.17	84.29
47	1.567	9.69	52.23	82.79
48	1.6	4.56	50.37	82.18
49	1.633	14.64	56.73	84.53
50	1.667	30.73	48.59	84.58
51	1.7	32.67	48.36	83.62
52	1.733	36.91	49.74	83.48
53	1.767	38.25	53.45	82.3
54	1.8	16.77	48.2	86.07
55	1.833	30.75	59.1	82.3
56	1.867	12.38	44.89	83.96
57	1.9	28.45	41.39	94.76
58	1.933	19.34	41.82	91.38
59	1.967	10.84	55.54	77.76
60	2.0	13.88	50.58	77.78
61	2.033	3.78	48.58	73.87
62	2.067	16.86	45.1	78.52
