Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	66.56	53.23	67.94	53.41	68.71	50.98	61.62	44.53	68.78	46.04	57.32	40.87	60.96	50.11	48.23	33.09	51.5	51.83	51.32	33.59	54.43	43.94	33.88	44.94	37.09	55.16	27.14	47.88	26.49	62.88	18.27	49.02	19.39	51.66
2	0.067	66.81	52.8	68.15	53.0	69.06	50.7	62.0	44.92	69.55	46.6	58.08	41.8	61.6	51.3	49.26	34.13	52.26	52.79	52.19	34.11	55.51	42.19	33.82	45.46	36.88	55.91	26.21	47.72	25.9	63.23	17.81	48.17	19.07	51.01
3	0.1	68.36	55.34	69.43	55.15	69.97	53.08	61.58	44.94	68.2	47.66	58.41	40.37	59.81	51.67	51.09	34.14	52.24	56.69	52.04	33.34	58.06	48.29	33.38	44.07	35.1	55.13	26.53	48.07	24.74	63.66	17.0	47.72	17.79	51.1
4	0.133	67.51	57.03	68.82	57.18	69.7	54.61	61.84	47.12	69.36	48.89	57.13	42.15	60.62	52.67	46.66	32.96	50.05	55.06	48.0	33.58	52.39	51.37	33.37	46.16	36.34	57.11	27.0	49.8	25.55	65.43	18.16	50.67	18.86	53.63
5	0.167	67.4	57.86	68.73	58.09	69.54	55.5	61.8	48.04	69.17	49.67	57.17	42.52	60.52	52.78	47.02	32.96	50.0	54.57	48.17	33.8	53.15	50.1	33.25	46.21	36.11	56.98	26.95	49.74	25.62	65.19	17.9	50.94	18.34	53.76
6	0.2	67.86	58.05	69.25	58.34	69.95	55.71	62.16	48.49	69.27	50.07	57.41	43.13	60.53	53.05	47.61	33.52	50.23	53.87	48.75	34.03	53.55	47.2	33.13	46.22	35.83	56.85	26.84	49.67	25.65	65.03	17.85	50.63	18.47	53.37
7	0.233	67.36	57.53	68.78	57.7	69.43	55.17	62.03	48.01	69.04	49.8	57.64	43.23	60.39	53.53	47.71	34.02	49.97	55.46	48.86	34.06	53.93	49.72	32.85	45.84	35.25	56.8	25.91	49.14	24.47	64.94	17.14	49.49	17.4	52.72
8	0.267	68.17	57.18	69.67	57.34	69.96	54.86	62.46	48.16	68.54	50.23	57.94	43.64	59.63	54.1	48.95	35.15	49.75	55.64	50.3	35.71	54.24	47.23	32.82	46.41	34.57	57.5	26.01	49.57	24.35	65.6	17.16	49.6	17.22	53.0
9	0.3	65.6	52.49	67.06	52.98	67.32	50.77	61.56	46.45	67.16	47.87	57.98	43.57	59.1	50.78	49.51	36.21	49.13	51.64	53.35	33.67	50.9	42.71	34.43	46.68	35.4	56.4	26.98	48.65	25.41	63.52	21.0	49.34	19.85	54.03
10	0.333	67.03	56.05	68.39	56.1	68.93	53.95	61.71	47.59	68.31	50.09	57.76	43.82	59.94	54.74	48.86	35.47	50.59	56.73	50.24	36.54	54.58	49.07	32.69	46.46	34.76	57.67	25.61	49.71	23.98	66.01	17.5	49.57	17.33	53.4
