Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	174.75	95.71	162.44
2	0.067	174.46	93.1	162.25
3	0.1	174.17	91.74	163.07
4	0.133	172.2	96.32	161.07
5	0.167	173.36	96.54	159.71
6	0.2	173.35	95.43	160.69
7	0.233	174.05	101.08	162.69
8	0.267	174.08	96.23	162.85
9	0.3	174.14	95.21	163.9
10	0.333	175.29	99.52	163.36
11	0.367	174.8	99.43	162.83
12	0.4	177.48	105.41	164.12
13	0.433	178.03	103.38	163.87
14	0.467	177.53	102.49	164.74
15	0.5	177.98	102.12	163.71
16	0.533	177.63	103.74	165.02
17	0.567	177.65	103.43	167.09
18	0.6	177.52	103.05	166.21
19	0.633	176.7	100.22	166.31
20	0.667	176.16	103.14	167.21
21	0.7	175.37	97.98	163.04
22	0.733	174.52	99.35	163.01
23	0.767	174.86	100.77	161.09
24	0.8	174.95	100.99	160.47
25	0.833	176.04	106.05	163.05
26	0.867	175.79	101.3	162.35
27	0.9	175.42	101.96	161.81
28	0.933	175.89	101.5	161.67
29	0.967	175.81	98.76	160.31
30	1.0	176.39	95.78	159.84
31	1.033	176.48	96.93	158.99
32	1.067	176.1	96.75	157.46
33	1.1	176.26	97.79	160.36
34	1.133	176.43	100.54	161.07
35	1.167	177.01	98.81	161.54
36	1.2	177.19	98.2	160.12
37	1.233	176.0	93.16	159.88
38	1.267	176.92	102.94	161.66
39	1.3	176.82	102.88	162.7
40	1.333	176.86	101.63	162.17
41	1.367	176.94	103.97	159.29
42	1.4	177.0	103.94	159.03
43	1.433	177.75	106.54	159.75
44	1.467	176.65	101.67	158.02
45	1.5	177.91	101.61	159.23
46	1.533	178.09	99.17	157.04
47	1.567	177.93	102.87	157.87
48	1.6	177.02	93.29	160.55
49	1.633	176.71	91.71	156.65
50	1.667	178.8	100.46	166.33
51	1.7	179.04	96.11	164.78
52	1.733	179.9	100.29	165.01
53	1.767	179.54	103.74	163.92
54	1.8	179.03	101.62	159.92
55	1.833	178.0	111.85	158.62
56	1.867	173.97	105.95	159.87
57	1.9	171.78	104.37	159.64
58	1.933	177.68	112.75	158.55
59	1.967	179.88	111.12	160.38
60	2.0	178.55	112.0	159.19
61	2.033	179.96	105.23	162.52
62	2.067	179.73	98.45	163.23
63	2.1	179.03	93.72	161.78
64	2.133	179.04	100.79	158.84
65	2.167	177.55	94.3	160.16
66	2.2	178.28	94.72	161.11
67	2.233	179.45	88.34	160.04
68	2.267	178.48	79.55	157.62
69	2.3	176.46	79.32	160.56
70	2.333	179.3	83.07	163.78
71	2.367	178.6	87.82	162.03
72	2.4	175.64	87.78	163.68
73	2.433	177.63	85.17	164.69
74	2.467	175.93	67.33	156.45
75	2.5	175.92	63.59	158.43
76	2.533	173.66	75.12	167.18
77	2.567	174.42	71.34	168.87
78	2.6	175.93	75.3	169.8
79	2.633	176.86	82.5	170.16
80	2.667	179.51	79.63	167.66
81	2.7	177.75	80.76	167.24
82	2.733	180.0	93.35	169.47
83	2.767	178.0	98.1	165.64
84	2.8	179.92	103.35	168.77
85	2.833	179.19	106.72	169.96
86	2.867	178.86	107.38	169.79
87	2.9	178.77	105.74	169.65
88	2.933	178.35	106.62	169.98
89	2.967	178.31	103.02	169.32
90	3.0	178.03	102.8	167.61
91	3.033	178.0	100.12	168.21
92	3.067	175.94	103.16	164.04
93	3.1	176.37	103.9	164.97
94	3.133	175.14	103.29	163.77
95	3.167	175.57	102.18	161.67
96	3.2	175.71	101.67	164.27
97	3.233	175.0	99.88	164.43
98	3.267	174.72	100.52	161.06
99	3.3	175.8	99.02	159.31
100	3.333	174.31	103.42	166.77
101	3.367	174.01	104.35	167.07
102	3.4	173.78	107.55	162.08
103	3.433	174.61	108.57	166.44
104	3.467	175.39	109.12	166.8
105	3.5	174.62	109.04	166.2
106	3.533	176.68	106.68	168.94
107	3.567	176.24	105.36	166.7
108	3.6	175.29	106.03	167.75
109	3.633	175.65	106.47	166.14
110	3.667	176.35	105.55	164.67
111	3.7	176.62	106.38	164.64
112	3.733	177.18	106.78	164.92
113	3.767	175.61	107.22	163.59
114	3.8	176.12	110.53	157.88
115	3.833	175.31	107.37	156.01
116	3.867	177.82	105.49	158.86
117	3.9	179.62	103.36	159.31
118	3.933	179.67	103.84	160.54
119	3.967	178.16	99.39	163.08
120	4.0	178.64	102.16	153.24
121	4.033	177.16	92.9	165.98
122	4.067	178.93	99.04	156.94
123	4.1	176.81	91.48	168.06
124	4.133	176.86	94.96	166.81
125	4.167	177.15	92.93	169.22
126	4.2	177.59	91.5	169.0
127	4.233	174.26	90.14	169.24
128	4.267	174.84	87.09	169.83
129	4.3	173.32	88.16	173.21
130	4.333	172.41	85.1	171.64
131	4.367	170.72	83.23	172.6
132	4.4	168.44	84.45	172.25
133	4.433	169.08	83.1	171.52
134	4.467	168.84	78.29	173.46
