Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	62.39	42.16	62.93	41.56	61.7	40.03	51.85	38.41	56.03	41.3	49.03	45.43	51.93	49.0	52.31	54.07	53.34	61.91	58.41	61.08	61.32	70.12	27.75	48.61	29.99	55.98	19.16	54.31	16.95	64.44	11.06	52.53	5.56	55.04
2	0.067	62.42	42.14	62.93	41.55	61.71	40.03	51.75	38.5	55.99	41.42	48.99	45.61	51.86	49.1	52.42	54.37	53.36	62.06	58.48	61.0	61.37	70.04	27.6	48.69	29.83	56.01	18.93	54.37	16.72	64.43	10.89	52.42	5.38	54.93
3	0.1	62.45	43.22	62.64	41.79	61.87	40.6	51.77	36.97	56.19	40.57	49.2	45.13	51.95	48.86	50.75	55.07	52.82	60.9	59.15	60.84	61.07	69.08	29.55	48.92	31.97	55.98	23.13	53.1	21.14	62.88	14.68	51.04	11.83	55.34
4	0.133	62.61	43.09	62.79	41.66	62.03	40.46	51.87	36.9	56.31	40.53	49.34	45.18	52.02	48.95	51.04	55.14	52.77	61.03	59.35	60.83	61.18	69.04	29.47	48.91	31.85	56.01	22.91	53.01	20.93	62.84	14.56	50.79	11.6	55.05
5	0.167	62.67	42.97	62.8	41.5	62.1	40.31	51.85	36.77	56.43	40.44	49.52	45.37	52.02	49.29	51.12	55.22	52.82	61.37	59.43	60.78	61.41	69.04	29.68	49.04	31.96	56.24	23.48	53.04	21.36	63.03	14.8	50.72	12.02	55.16
6	0.2	62.78	43.16	62.93	41.66	62.22	40.47	51.98	36.9	56.56	40.52	49.66	45.55	52.13	49.39	51.27	55.67	53.16	61.78	59.72	61.09	61.86	69.49	29.86	49.42	32.09	56.62	23.62	53.39	21.48	63.36	15.07	51.16	12.39	55.57
7	0.233	63.05	42.92	63.24	41.44	62.42	40.24	52.38	36.74	56.66	40.38	50.04	45.52	52.28	49.23	51.5	55.71	53.09	61.54	59.9	61.44	61.76	69.69	30.13	49.29	32.21	56.44	23.66	53.4	21.47	63.36	15.05	51.01	12.3	55.52
8	0.267	63.41	42.84	63.64	41.82	62.8	40.54	52.53	38.05	57.16	41.49	50.08	46.14	52.8	49.31	53.05	55.75	53.66	61.87	60.86	61.79	64.01	72.07	29.09	48.58	31.33	55.61	19.63	54.8	17.31	64.52	11.89	51.2	6.31	54.92
9	0.3	63.66	42.92	63.9	41.87	63.05	40.6	52.72	37.98	57.42	41.48	50.33	46.02	53.09	49.37	53.42	55.46	53.88	61.96	61.11	61.68	64.26	72.14	29.21	48.64	31.47	55.82	19.5	54.57	17.11	64.49	11.74	51.13	6.03	54.84
10	0.333	63.9	43.27	64.15	42.11	63.27	40.92	52.92	37.95	57.57	41.68	50.5	46.03	53.25	49.79	53.77	55.42	54.27	62.49	61.47	61.84	64.72	72.35	29.14	48.7	31.41	56.18	19.44	54.55	16.98	64.88	11.63	51.36	5.93	55.25
11	0.367	64.08	43.52	64.36	42.32	63.44	41.18	53.21	37.88	57.71	41.71	50.65	45.75	53.52	49.72	53.93	54.95	54.45	62.36	61.44	61.76	64.69	72.32	29.33	48.69	31.67	56.28	19.55	54.47	17.22	64.96	11.7	51.46	6.07	55.35
12	0.4	64.2	43.62	64.51	42.45	63.58	41.28	53.42	38.03	57.88	41.76	50.89	45.74	53.59	49.51	53.96	54.99	54.4	62.15	61.38	61.69	64.77	72.34	29.55	48.7	31.76	56.21	19.74	54.48	17.31	64.85	11.82	51.46	6.12	55.35
13	0.433	64.43	43.78	64.76	42.64	63.77	41.46	53.67	38.31	58.04	42.01	51.08	46.05	53.83	49.77	54.14	55.35	54.57	62.48	61.47	61.78	64.82	72.4	29.82	48.95	32.06	56.41	19.97	54.69	17.63	65.01	12.07	51.63	6.35	55.45
14	0.467	64.65	43.82	64.96	42.61	63.95	41.5	53.8	38.16	58.12	42.07	51.2	46.04	53.96	50.12	54.34	55.29	54.76	62.93	61.61	61.57	64.93	72.25	30.01	48.93	32.29	56.59	20.38	54.83	18.13	65.44	12.29	51.58	6.73	55.61
15	0.5	64.86	43.81	65.23	42.64	64.15	41.51	54.21	38.2	58.29	42.04	51.39	45.89	54.16	49.96	54.45	55.12	54.84	62.83	61.59	61.58	65.04	72.42	30.18	48.79	32.42	56.46	20.51	54.9	18.4	65.46	12.63	51.65	7.08	55.54
16	0.533	65.05	44.07	65.44	42.97	64.41	41.77	54.39	38.55	58.61	42.23	51.66	45.9	54.3	49.97	54.61	54.85	55.08	62.68	61.75	61.58	65.26	72.28	30.58	48.94	32.72	56.62	21.13	54.62	18.86	65.19	13.05	51.63	7.58	55.38
17	0.567	65.29	44.09	65.66	42.96	64.59	41.79	54.57	38.55	58.7	42.32	51.89	46.08	54.52	50.19	54.86	55.08	55.45	62.97	61.81	61.73	65.47	72.53	30.82	49.02	32.95	56.74	21.24	54.7	18.93	65.35	12.94	51.65	7.41	55.46
18	0.6	65.27	44.36	65.61	43.2	64.6	42.05	54.45	38.68	58.74	42.46	51.82	46.18	54.56	50.39	54.87	55.3	55.78	63.37	61.95	61.78	65.8	72.61	30.89	48.91	33.09	56.69	21.62	54.52	19.29	65.27	13.13	51.44	7.7	55.31
19	0.633	65.37	44.5	65.73	43.34	64.74	42.18	54.59	38.74	58.85	42.48	51.78	46.11	54.56	50.51	54.71	55.01	55.62	63.38	61.85	61.73	65.66	72.48	31.04	48.83	33.25	56.69	22.08	54.54	19.92	65.38	13.62	51.36	8.46	55.2
20	0.667	65.62	44.98	66.0	43.88	65.05	42.65	54.77	39.1	59.14	42.71	51.8	46.1	54.69	50.5	54.61	54.92	55.64	63.34	61.94	61.78	65.64	72.31	31.21	48.98	33.49	56.84	22.49	54.43	20.36	65.27	13.91	51.21	8.86	54.89
21	0.7	65.87	45.11	66.24	44.0	65.27	42.82	54.99	39.29	59.25	42.96	52.01	46.43	54.77	50.79	55.06	55.28	56.07	63.59	62.23	61.65	65.94	72.15	31.43	48.92	33.62	56.74	23.02	54.15	20.88	64.93	14.7	50.95	9.81	54.67
22	0.733	65.85	45.33	66.24	44.23	65.27	43.07	55.1	39.58	59.31	43.17	52.06	46.47	54.8	50.84	55.28	55.55	56.59	63.93	62.46	61.84	66.19	72.38	31.57	49.37	33.7	57.16	23.43	54.38	21.27	65.1	15.44	51.5	10.73	55.07
23	0.767	66.18	45.65	66.65	44.54	65.64	43.38	55.62	39.7	59.71	43.19	52.47	46.19	55.15	50.67	55.76	55.22	56.97	63.95	62.64	61.7	66.33	72.0	32.01	49.28	34.05	57.13	24.03	54.36	21.84	65.15	16.13	51.68	11.4	55.04
24	0.8	66.46	45.89	66.91	44.89	65.95	43.64	55.67	40.2	60.11	43.57	52.54	46.5	55.57	50.94	55.78	55.36	57.46	64.08	62.85	62.01	66.37	72.17	32.19	49.66	34.48	57.46	24.5	54.8	22.46	65.53	16.45	52.28	11.95	55.53
25	0.833	66.65	46.12	67.08	45.18	66.18	43.88	55.65	40.66	60.34	44.0	52.55	46.91	55.76	51.63	55.8	55.25	57.81	64.38	62.88	62.48	66.29	72.42	32.4	50.43	34.84	58.33	24.93	55.41	22.95	66.24	16.84	53.31	12.71	56.38
26	0.867	66.98	46.01	67.34	45.06	66.48	43.76	55.72	40.74	60.61	44.14	52.72	47.29	55.89	52.09	55.99	55.68	58.1	64.84	63.18	62.7	66.64	72.89	32.59	51.12	34.98	59.11	25.16	55.47	23.09	66.38	17.48	53.37	13.46	56.61
27	0.9	67.16	45.96	67.51	45.04	66.65	43.7	55.9	40.76	60.77	44.08	52.91	47.31	56.04	52.12	56.3	55.6	58.05	64.92	63.32	62.81	66.52	73.0	32.87	51.23	35.23	59.2	25.34	55.71	23.27	66.58	17.8	53.9	13.7	56.93
28	0.933	67.27	46.01	67.63	45.12	66.74	43.74	56.11	40.98	60.89	44.18	53.11	47.56	56.3	52.13	56.44	55.9	58.34	64.9	63.38	63.09	66.52	73.07	33.17	51.37	35.54	59.22	25.54	55.9	23.49	66.59	18.13	54.11	13.93	57.0
29	0.967	67.47	45.87	67.82	44.98	66.95	43.61	56.18	40.75	61.06	44.06	53.22	47.19	56.39	52.05	56.5	55.36	58.25	64.83	63.43	62.93	66.52	73.05	33.25	51.16	35.64	59.18	25.68	55.75	23.64	66.69	17.92	54.03	13.79	57.05
30	1.0	67.73	45.7	68.09	44.82	67.16	43.44	56.41	40.67	61.19	44.0	53.39	47.3	56.64	52.07	56.62	55.67	58.59	64.96	63.79	63.05	66.78	73.07	33.5	51.26	35.95	59.26	25.97	55.88	23.99	66.8	18.07	54.09	13.99	57.17
31	1.033	68.23	45.67	68.56	44.77	67.56	43.41	56.68	40.69	61.29	44.16	53.54	47.7	56.77	52.49	56.81	56.19	58.99	65.31	64.14	63.16	67.23	73.31	33.65	51.6	36.1	59.67	26.01	55.84	24.05	66.84	18.42	54.1	14.5	57.34
32	1.067	68.45	45.76	68.84	44.89	67.74	43.5	57.03	40.83	61.41	44.23	53.77	47.86	57.08	52.53	57.06	56.38	59.33	65.46	64.5	63.35	67.68	73.51	33.92	52.05	36.39	60.12	26.03	56.33	24.06	67.31	18.36	54.73	14.2	57.81
33	1.1	69.07	45.57	69.47	44.59	68.23	43.27	57.47	40.39	61.47	44.1	54.06	47.91	57.26	52.89	57.63	56.43	59.77	65.78	65.22	63.28	68.14	73.41	33.94	52.11	36.38	60.44	25.91	56.19	24.03	67.55	18.02	54.41	14.11	57.75
34	1.133	69.3	45.49	69.7	44.46	68.41	43.16	57.65	40.28	61.52	44.07	54.24	48.03	57.28	53.1	57.91	56.75	59.75	66.25	65.4	63.65	68.46	73.9	34.08	52.41	36.43	60.83	25.88	56.47	24.02	67.92	18.12	54.72	14.19	58.12
35	1.167	69.56	45.18	69.97	44.19	68.6	42.89	57.9	40.14	61.59	43.98	54.35	48.04	57.48	53.05	57.74	56.77	60.07	66.08	65.38	63.51	68.65	74.11	34.26	52.35	36.67	60.76	26.13	56.47	24.29	67.9	18.26	54.64	14.36	58.19
36	1.2	69.2	46.21	69.5	44.36	68.26	43.52	58.18	38.78	61.55	43.54	54.76	47.63	58.03	52.9	56.88	57.79	59.32	65.78	65.52	64.19	68.6	74.97	34.94	51.57	37.71	59.79	27.17	56.3	26.02	67.56	18.71	53.08	16.04	58.29
37	1.233	69.3	46.38	69.59	44.45	68.39	43.61	58.17	38.67	61.66	43.42	54.76	47.71	58.15	53.06	57.02	58.13	59.69	66.33	65.82	63.94	69.3	74.47	34.87	51.73	37.71	60.05	27.44	56.25	26.35	67.66	18.72	53.0	16.12	58.25
38	1.267	69.42	46.06	69.71	44.22	68.53	43.3	58.49	38.69	62.02	43.19	55.33	47.79	58.54	52.85	57.63	57.83	59.88	65.84	65.96	64.19	69.14	74.42	35.36	51.9	38.05	60.04	27.55	56.37	26.32	67.55	19.08	53.28	16.27	58.16
39	1.3	69.65	46.11	69.97	44.25	68.71	43.37	58.86	38.72	62.15	43.31	55.82	47.84	58.7	53.11	58.18	57.99	60.35	66.38	66.24	64.34	69.76	74.53	35.77	51.81	38.19	60.1	28.05	56.46	26.67	67.87	19.52	53.57	16.76	58.55
40	1.333	69.78	46.12	70.14	44.24	68.8	43.33	59.26	38.67	62.31	43.21	56.29	47.86	59.04	53.23	58.35	57.91	60.83	66.59	66.55	64.15	70.14	74.55	36.44	51.74	38.77	60.15	28.81	56.49	27.36	68.08	20.0	53.49	17.42	58.6
41	1.367	69.8	46.05	70.15	44.26	68.88	43.27	59.25	38.88	62.5	43.21	56.38	48.01	59.14	53.26	58.36	57.75	60.93	66.44	66.46	64.44	70.1	74.87	36.66	51.83	38.97	60.16	28.96	56.67	27.43	68.13	20.04	53.62	17.38	58.45
42	1.4	69.85	45.97	70.21	44.19	68.94	43.21	59.38	38.83	62.58	43.11	56.49	47.9	59.16	53.07	58.39	57.68	60.76	66.22	66.39	64.75	69.85	75.06	36.89	51.56	39.12	59.82	29.13	56.52	27.62	67.91	20.44	53.31	17.85	58.12
43	1.433	70.11	46.01	70.49	44.13	69.04	43.26	59.74	38.77	62.42	43.31	56.85	48.25	59.28	53.58	58.78	57.93	61.31	66.57	66.73	65.0	70.15	75.14	37.31	51.88	39.39	60.26	29.59	56.49	27.96	68.14	20.56	53.25	18.09	58.41
44	1.467	70.11	45.98	70.51	44.03	68.95	43.21	59.75	38.64	62.17	43.32	56.71	48.51	59.3	53.89	58.62	58.09	61.45	66.6	66.83	65.04	70.19	74.96	37.23	52.12	39.42	60.51	29.53	56.67	27.99	68.4	20.37	53.43	18.0	58.77
45	1.5	70.23	45.98	70.61	43.99	68.94	43.3	59.87	38.63	62.0	43.57	56.76	48.64	59.34	54.0	58.73	58.33	61.73	66.6	66.85	65.13	70.48	75.13	37.3	52.29	39.49	60.66	29.42	56.62	27.81	68.37	20.31	53.43	17.76	59.02
46	1.533	70.55	46.09	71.02	44.09	69.15	43.43	60.45	38.78	62.02	43.76	57.13	48.87	59.58	54.21	59.04	58.29	62.06	66.54	66.87	65.11	70.44	75.14	37.78	52.54	39.87	60.9	29.9	56.68	28.39	68.41	20.76	53.57	18.4	59.15
47	1.567	70.64	46.19	71.11	44.12	69.19	43.52	60.57	38.73	61.98	43.83	57.22	48.95	59.65	54.36	59.16	58.42	62.38	66.7	66.97	64.97	70.64	75.19	37.8	52.53	39.85	60.96	29.96	56.52	28.41	68.37	20.82	52.99	18.54	58.74
48	1.6	70.73	46.13	71.17	44.09	69.3	43.48	60.55	38.8	62.12	43.91	57.26	49.05	59.73	54.53	59.45	58.54	62.55	66.98	67.42	65.14	71.08	75.36	37.79	52.51	39.88	60.98	30.22	56.38	28.67	68.26	21.16	53.06	18.76	58.81
49	1.633	70.92	46.2	71.39	44.23	69.39	43.62	60.89	39.25	62.19	44.35	57.72	49.54	59.95	54.9	59.86	58.62	63.1	66.91	67.66	65.24	71.24	75.38	38.18	53.19	40.1	61.61	30.35	56.54	28.61	68.39	21.31	53.34	18.94	59.11
50	1.667	70.83	46.21	71.28	44.27	69.32	43.64	60.8	39.4	62.18	44.42	57.69	49.72	60.04	55.04	59.83	58.7	63.33	67.04	67.58	65.08	71.31	75.42	38.32	53.39	40.28	61.78	30.43	56.79	28.71	68.58	21.38	53.54	19.0	59.2
51	1.7	70.74	46.34	71.15	44.44	69.27	43.78	60.59	39.56	62.19	44.49	57.58	49.74	60.0	54.88	59.69	58.82	63.29	66.88	67.49	65.27	71.24	75.52	38.28	53.42	40.3	61.69	30.35	57.01	28.57	68.64	21.25	54.02	18.76	59.58
52	1.733	70.76	46.32	71.18	44.48	69.31	43.78	60.63	39.74	62.26	44.55	57.6	49.83	60.04	54.85	59.72	58.92	63.38	66.85	67.44	65.47	71.28	75.6	38.34	53.21	40.35	61.4	30.41	56.65	28.58	68.16	21.5	53.6	18.86	58.98
53	1.767	70.93	46.36	71.35	44.51	69.47	43.81	60.74	39.72	62.35	44.59	57.65	49.96	60.1	54.96	59.73	58.99	63.4	66.78	67.51	65.33	71.33	75.46	38.28	53.33	40.29	61.55	30.34	56.68	28.54	68.22	21.48	53.42	18.92	58.91
54	1.8	70.98	46.34	71.37	44.5	69.52	43.81	60.65	39.72	62.37	44.67	57.56	49.94	60.02	55.04	59.55	58.82	63.23	66.64	67.42	65.26	71.08	75.34	38.08	53.15	40.13	61.41	30.32	56.53	28.51	68.16	21.3	53.09	18.84	58.73
55	1.833	71.32	46.63	71.83	44.76	69.84	44.0	61.25	39.81	62.55	44.62	57.98	50.08	60.22	55.13	59.84	59.1	63.49	66.98	67.76	65.08	71.28	75.12	38.42	53.22	40.27	61.55	30.5	56.67	28.63	68.4	21.4	53.22	18.99	58.76
56	1.867	71.49	47.02	72.06	45.17	70.04	44.33	61.48	40.1	62.67	44.76	58.01	50.25	60.25	55.23	59.78	59.15	63.38	67.01	67.75	65.01	71.07	75.1	38.39	53.12	40.22	61.46	30.43	56.78	28.57	68.46	21.44	53.23	19.03	58.56
57	1.9	71.67	47.27	72.28	45.44	70.22	44.56	61.75	40.38	62.82	45.0	58.26	50.49	60.44	55.62	60.01	59.22	63.55	67.42	68.0	64.72	71.21	74.9	38.52	53.18	40.29	61.66	30.56	56.65	28.67	68.5	21.54	53.14	19.12	58.44
58	1.933	71.84	47.69	72.51	45.87	70.37	44.98	62.14	40.74	62.98	45.31	58.68	50.59	60.6	55.71	60.35	59.02	63.53	67.3	68.21	64.8	71.13	74.86	38.91	53.16	40.51	61.65	30.75	56.75	28.8	68.67	21.63	53.6	19.23	58.88
59	1.967	72.1	47.99	72.77	46.25	70.66	45.31	62.25	41.15	63.24	45.66	58.71	50.83	60.72	55.82	60.42	59.4	63.57	67.43	68.3	65.11	71.23	74.97	38.8	53.48	40.49	61.91	30.67	56.83	28.72	68.61	21.72	53.74	19.21	58.86
60	2.0	72.23	48.1	72.85	46.37	70.81	45.44	62.16	41.24	63.41	45.83	58.73	50.84	60.74	55.84	60.53	59.46	63.55	67.39	68.57	65.62	71.41	75.16	38.63	53.54	40.35	62.0	30.5	56.6	28.43	68.46	21.55	53.49	18.91	58.71
61	2.033	72.23	48.33	72.8	46.62	70.86	45.67	61.89	41.43	63.46	46.02	58.46	51.02	60.67	55.99	60.22	59.66	63.49	67.43	68.32	65.58	71.24	75.07	38.41	53.68	40.27	62.11	30.4	56.77	28.35	68.56	21.52	53.64	18.91	58.87
62	2.067	72.27	48.14	72.79	46.47	70.86	45.55	61.85	41.47	63.42	46.08	58.5	51.1	60.67	55.88	60.37	59.69	63.58	67.16	68.19	65.43	71.23	75.13	38.52	53.59	40.32	61.88	30.32	56.81	28.25	68.41	21.57	53.7	18.85	58.87
63	2.1	72.27	47.71	72.78	46.04	70.8	45.14	61.84	41.3	63.33	45.98	58.61	51.21	60.58	55.98	60.5	59.84	63.45	67.22	68.27	65.59	71.06	75.1	38.51	53.61	40.21	61.89	30.18	56.61	28.05	68.22	21.48	53.5	18.8	58.81
64	2.133	71.99	47.51	72.51	45.82	70.52	44.92	61.75	41.23	63.1	45.83	58.61	51.31	60.39	56.2	60.57	59.75	63.42	67.46	68.28	65.63	71.15	75.18	38.63	53.72	40.18	62.03	30.41	56.72	28.22	68.39	21.63	53.55	19.0	58.78
65	2.167	71.83	47.35	72.37	45.62	70.3	44.76	61.78	41.04	62.87	45.7	58.67	51.22	60.31	56.08	60.69	59.78	63.37	67.46	68.36	65.7	71.22	75.22	38.79	53.54	40.24	61.83	30.43	56.5	28.25	68.17	21.55	53.32	18.93	58.63
66	2.2	71.69	47.22	72.28	45.38	70.08	44.63	61.91	40.66	62.61	45.45	58.74	50.96	60.26	55.85	60.7	59.82	63.29	67.49	68.19	65.51	70.92	75.21	38.89	53.55	40.26	61.84	30.46	56.77	28.32	68.48	21.47	53.3	18.87	58.79
67	2.233	71.63	47.27	72.32	45.35	69.98	44.61	62.32	40.47	62.51	45.22	59.05	50.89	60.3	55.76	60.8	59.69	63.19	67.41	68.17	65.41	70.74	75.27	39.17	53.54	40.35	61.85	30.58	56.92	28.39	68.66	21.55	53.24	19.01	58.75
68	2.267	71.58	47.31	72.41	45.37	69.89	44.64	62.76	40.47	62.46	45.16	59.35	50.72	60.44	55.55	60.95	59.61	63.25	67.41	68.13	65.26	70.52	75.41	39.42	53.55	40.47	61.86	30.55	57.08	28.36	68.81	21.62	53.61	19.05	59.06
69	2.3	71.47	47.37	72.31	45.4	69.78	44.67	62.79	40.47	62.39	45.13	59.37	50.73	60.49	55.51	60.96	59.62	63.34	67.35	68.01	65.49	70.5	75.62	39.46	53.43	40.51	61.7	30.47	56.95	28.28	68.63	21.72	53.54	19.09	58.9
70	2.333	71.5	47.38	72.35	45.39	69.8	44.68	62.86	40.42	62.39	45.11	59.42	50.68	60.5	55.5	60.97	59.6	63.35	67.38	67.99	65.49	70.48	75.68	39.57	53.44	40.58	61.73	30.61	56.98	28.42	68.69	21.88	53.48	19.27	58.9
71	2.367	71.57	47.34	72.45	45.44	69.91	44.63	62.99	40.62	62.51	45.07	59.46	50.8	60.58	55.57	60.85	59.44	63.43	67.31	67.92	65.36	70.59	75.56	39.84	53.62	40.85	61.87	31.02	57.26	28.86	68.87	22.33	54.08	19.76	59.25
72	2.4	71.62	47.37	72.48	45.47	69.96	44.65	62.96	40.62	62.57	45.12	59.45	50.82	60.61	55.64	60.84	59.48	63.5	67.37	67.99	65.49	70.66	75.51	39.77	53.5	40.81	61.79	31.04	57.01	28.84	68.7	22.4	53.86	19.82	59.11
73	2.433	71.66	47.24	72.48	45.33	69.99	44.55	62.88	40.49	62.57	45.06	59.41	50.71	60.6	55.61	60.86	59.4	63.43	67.41	67.84	65.31	70.47	75.46	39.79	53.52	40.87	61.83	31.01	56.99	28.84	68.7	22.26	53.64	19.69	58.9
74	2.467	72.09	46.54	72.89	45.11	70.63	44.32	63.19	40.76	63.23	45.26	59.05	49.74	60.57	54.33	61.95	59.63	62.97	68.09	68.63	66.28	71.15	77.42	38.93	51.53	40.24	59.59	30.01	57.69	28.05	68.85	21.66	53.86	17.27	58.24
75	2.5	72.12	46.53	72.92	45.09	70.65	44.3	63.22	40.72	63.24	45.25	59.11	49.7	60.52	54.5	62.17	59.46	63.02	68.3	68.86	66.35	71.35	77.39	38.93	51.5	40.16	59.68	30.16	57.55	28.16	68.88	21.73	53.69	17.38	58.09
76	2.533	72.12	46.57	72.91	45.11	70.63	44.35	63.25	40.75	63.23	45.34	59.2	49.73	60.54	54.55	62.3	59.53	63.13	68.36	68.95	66.4	71.42	77.44	38.96	51.39	40.15	59.59	30.19	57.31	28.13	68.68	21.75	53.46	17.39	57.96
77	2.567	72.09	46.73	72.9	45.29	70.66	44.47	63.19	40.91	63.34	45.35	59.07	49.78	60.66	54.65	62.22	59.5	63.3	68.55	69.05	66.6	71.6	77.71	38.93	51.46	40.27	59.69	30.36	57.38	28.41	68.75	22.03	53.58	17.68	57.92
78	2.6	72.08	46.87	72.93	45.47	70.65	44.62	63.3	41.11	63.32	45.46	59.08	49.76	60.63	54.51	62.25	59.52	63.3	68.43	69.08	66.48	71.59	77.56	38.89	51.29	40.2	59.45	30.32	57.3	28.41	68.55	22.13	53.65	17.79	57.86
79	2.633	72.15	47.05	73.03	45.7	70.78	44.79	63.29	41.34	63.47	45.59	58.93	49.85	60.67	54.5	62.08	59.59	63.27	68.33	69.05	66.51	71.62	77.6	38.66	51.23	40.07	59.36	30.13	57.3	28.34	68.46	22.35	53.69	18.05	57.82
80	2.667	72.11	47.13	72.98	45.79	70.76	44.88	63.22	41.43	63.46	45.64	58.82	49.89	60.56	54.38	61.81	59.74	63.08	68.13	68.85	66.55	71.57	77.53	38.58	51.29	39.99	59.32	30.07	57.43	28.34	68.46	22.38	53.79	18.19	57.94
81	2.7	72.23	47.24	73.11	45.9	70.88	44.96	63.3	41.44	63.52	45.67	58.85	49.91	60.63	54.51	61.83	59.58	63.11	68.17	68.94	66.42	71.62	77.49	38.55	51.2	39.99	59.33	29.96	57.24	28.24	68.39	22.1	53.44	17.91	57.59
