Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	21.04	52.73	53.87
2	0.067	21.14	52.67	53.22
3	0.1	22.0	52.34	52.56
4	0.133	22.35	52.6	51.26
5	0.167	22.17	53.28	51.05
6	0.2	19.85	51.94	47.84
7	0.233	18.55	53.5	41.11
8	0.267	18.84	54.23	41.07
9	0.3	19.41	54.71	41.74
10	0.333	19.53	54.57	40.79
11	0.367	19.75	54.42	38.89
12	0.4	19.8	54.49	40.33
13	0.433	24.33	58.32	43.24
14	0.467	19.76	55.59	42.84
15	0.5	19.75	56.34	41.73
16	0.533	19.73	55.95	41.27
17	0.567	19.48	57.08	41.76
18	0.6	20.76	53.41	47.52
19	0.633	20.58	52.65	47.75
20	0.667	20.25	52.42	48.21
21	0.7	20.57	51.98	48.38
22	0.733	20.27	51.74	49.04
23	0.767	17.66	53.96	39.6
24	0.8	16.98	52.98	39.72
25	0.833	17.31	52.78	39.83
26	0.867	17.01	52.6	39.84
27	0.9	16.76	52.31	40.33
28	0.933	16.75	52.96	40.3
29	0.967	16.76	53.01	40.71
30	1.0	16.24	52.98	41.37
31	1.033	16.03	52.72	41.51
32	1.067	18.97	50.55	51.19
33	1.1	16.03	53.78	41.58
34	1.133	16.26	53.99	41.51
35	1.167	15.85	53.91	41.9
36	1.2	15.6	54.57	42.36
37	1.233	15.54	54.71	42.68
38	1.267	15.53	54.39	42.47
39	1.3	18.2	52.06	51.52
40	1.333	17.92	51.69	52.37
41	1.367	17.87	51.72	53.55
42	1.4	15.94	54.6	44.38
43	1.433	15.64	54.87	44.05
44	1.467	15.64	54.85	44.05
45	1.5	15.48	55.06	44.22
46	1.533	15.81	55.43	44.36
47	1.567	15.53	55.19	45.1
48	1.6	15.41	55.05	45.22
49	1.633	17.89	51.69	54.23
50	1.667	18.13	51.51	53.52
51	1.7	18.03	50.9	54.07
52	1.733	18.05	50.77	53.7
53	1.767	18.29	50.96	53.55
54	1.8	18.22	51.15	53.46
55	1.833	18.18	50.87	53.74
56	1.867	18.2	50.79	53.88
57	1.9	18.42	50.26	54.03
58	1.933	18.9	50.38	54.19
59	1.967	19.18	50.41	54.36
60	2.0	19.86	50.6	55.23
61	2.033	20.51	50.57	54.69
62	2.067	20.79	50.62	54.7
63	2.1	21.3	50.5	54.82
64	2.133	21.48	50.48	54.57
65	2.167	21.38	50.32	54.36
66	2.2	21.37	50.37	54.47
67	2.233	21.48	50.26	55.03
68	2.267	21.52	49.73	55.06
69	2.3	21.14	49.65	55.87
70	2.333	21.99	50.2	55.67
71	2.367	22.6	50.41	55.44
72	2.4	22.72	50.82	55.32
73	2.433	23.23	51.47	55.49
74	2.467	23.51	51.54	55.53
75	2.5	24.0	52.02	56.41
76	2.533	23.75	51.72	57.36
77	2.567	24.54	51.84	57.59
78	2.6	21.24	54.71	49.4
79	2.633	21.18	55.3	50.45
80	2.667	24.74	52.15	57.67
81	2.7	24.09	52.19	58.18
82	2.733	24.27	52.82	58.03
83	2.767	23.87	52.52	58.07
84	2.8	23.78	52.61	59.23
85	2.833	23.58	52.72	58.42
86	2.867	23.76	52.78	59.68
87	2.9	23.79	52.86	59.53
88	2.933	23.88	52.74	59.65
89	2.967	23.69	53.05	58.97
90	3.0	24.1	52.29	58.91
91	3.033	25.51	61.53	55.26
92	3.067	23.99	51.92	59.17
93	3.1	25.5	61.03	54.57
94	3.133	25.61	60.51	54.62
95	3.167	23.92	51.37	60.46
96	3.2	22.92	51.22	58.81
97	3.233	23.23	51.2	58.07
98	3.267	22.9	51.07	56.52
99	3.3	22.96	50.1	56.75
100	3.333	22.22	49.96	56.58
101	3.367	22.32	49.98	56.38
102	3.4	22.5	49.45	55.26
103	3.433	22.37	49.21	55.47
104	3.467	22.92	49.03	54.16
105	3.5	23.24	48.81	53.64
106	3.533	23.72	49.01	52.96
107	3.567	23.5	49.36	52.92
108	3.6	23.95	48.82	52.41
109	3.633	24.17	48.95	52.18
110	3.667	24.1	49.3	51.88
111	3.7	24.4	49.36	51.69
112	3.733	24.36	49.39	52.01
113	3.767	24.39	49.3	51.85
114	3.8	21.14	51.72	45.84
115	3.833	21.13	51.51	46.19
116	3.867	21.19	51.2	45.64
117	3.9	21.36	51.23	45.26
118	3.933	21.22	50.98	45.47
119	3.967	21.2	50.61	45.17
120	4.0	20.3	50.15	46.22
121	4.033	23.83	46.5	52.76
122	4.067	23.37	46.66	53.35
123	4.1	23.61	47.35	53.41
124	4.133	24.13	47.02	53.83
125	4.167	23.84	46.83	54.74
126	4.2	19.25	49.11	46.37
127	4.233	18.98	49.4	46.83
128	4.267	19.37	49.25	46.9
129	4.3	18.87	48.75	46.48
130	4.333	18.83	48.82	45.8
131	4.367	18.84	48.74	45.39
132	4.4	18.92	48.7	45.8
133	4.433	18.89	48.42	45.24
134	4.467	18.7	48.53	45.39
135	4.5	18.57	48.34	44.59
136	4.533	18.8	48.47	44.3
137	4.567	18.98	48.44	43.99
138	4.6	18.92	48.87	43.91
139	4.633	18.45	49.25	43.51
140	4.667	17.97	49.97	44.07
141	4.7	17.95	50.36	46.13
142	4.733	17.98	50.64	46.62
143	4.767	17.58	51.27	47.05
144	4.8	17.6	51.62	48.16
145	4.833	17.3	51.87	49.52
146	4.867	17.68	52.46	51.16
147	4.9	17.8	52.65	51.83
148	4.933	17.99	52.9	53.35
149	4.967	17.78	53.12	55.08
150	5.0	17.75	53.41	55.56
151	5.033	17.67	54.4	56.76
152	5.067	17.53	55.01	58.05
153	5.1	17.87	54.85	56.47
154	5.133	17.54	54.99	57.91
155	5.167	17.92	54.42	56.59
156	5.2	17.5	54.01	56.98
157	5.233	17.67	54.11	56.85
158	5.267	17.72	54.22	56.98
159	5.3	17.97	54.42	56.14
160	5.333	18.05	53.92	55.23
161	5.367	17.84	52.58	53.87
162	5.4	17.88	52.52	52.53
163	5.433	17.59	51.86	52.11
164	5.467	17.67	52.23	52.04
165	5.5	17.86	52.61	51.08
166	5.533	18.02	53.36	50.42
167	5.567	18.0	54.01	49.49
168	5.6	18.01	53.83	48.4
169	5.633	17.92	53.5	47.62
170	5.667	17.95	53.57	47.78
171	5.7	18.22	53.44	48.16
172	5.733	18.35	53.61	47.74
173	5.767	18.34	53.73	47.64
174	5.8	18.69	53.61	47.47
175	5.833	18.92	53.44	46.6
176	5.867	19.17	53.44	46.72
177	5.9	19.49	53.36	46.74
178	5.933	19.35	53.09	46.98
179	5.967	19.28	53.18	46.7
180	6.0	18.99	52.71	46.01
181	6.033	18.99	52.2	46.09
182	6.067	19.06	51.99	45.9
183	6.1	21.17	48.57	48.0
184	6.133	21.0	47.12	46.98
185	6.167	20.87	46.87	47.41
186	6.2	20.9	46.32	47.4
187	6.233	20.97	46.29	47.58
188	6.267	20.44	45.99	47.9
189	6.3	20.66	45.95	47.6
190	6.333	20.56	45.89	47.13
191	6.367	20.56	45.7	46.92
192	6.4	19.11	49.74	44.41
193	6.433	19.15	49.57	44.51
194	6.467	19.27	49.64	44.59
195	6.5	19.36	49.78	44.47
196	6.533	19.89	50.15	44.53
197	6.567	19.68	50.34	44.77
198	6.6	19.74	50.32	44.78
199	6.633	19.68	50.25	44.86
200	6.667	19.72	50.33	44.88
201	6.7	19.75	49.93	45.45
202	6.733	19.46	50.11	45.66
203	6.767	19.22	50.27	45.98
204	6.8	19.52	50.56	46.61
205	6.833	20.1	50.18	46.71
206	6.867	20.12	50.31	46.81
207	6.9	20.15	50.43	46.84
208	6.933	20.26	50.93	47.27
209	6.967	20.23	50.86	47.94
210	7.0	20.55	51.05	48.54
211	7.033	20.37	51.02	49.18
212	7.067	20.53	51.18	48.89
213	7.1	20.25	51.39	49.93
214	7.133	20.39	51.45	49.93
215	7.167	20.43	51.48	50.08
216	7.2	20.15	51.69	50.24
217	7.233	20.21	51.65	49.99
218	7.267	20.01	51.32	49.95
219	7.3	19.92	51.07	50.14
220	7.333	20.12	50.94	50.87
221	7.367	19.51	50.83	50.75
222	7.4	19.34	50.92	51.9
223	7.433	19.24	51.45	52.1
224	7.467	19.54	51.82	51.64
225	7.5	18.71	52.92	52.63
226	7.533	18.9	52.97	53.76
227	7.567	19.19	53.15	55.85
228	7.6	19.1	53.66	57.73
229	7.633	19.32	54.16	58.77
230	7.667	18.88	55.48	62.08
231	7.7	18.78	57.62	63.5
232	7.733	18.89	59.12	66.44
233	7.767	18.84	60.32	69.96
234	7.8	19.0	60.58	72.08
235	7.833	19.43	62.07	78.02
236	7.867	19.48	63.91	78.63
237	7.9	19.22	65.17	79.63
238	7.933	19.09	65.21	75.42
239	7.967	18.71	63.63	71.65
240	8.0	18.98	62.83	63.07
241	8.033	18.16	61.59	55.84
242	8.067	17.76	60.63	52.62
243	8.1	17.47	60.68	49.47
244	8.133	18.03	61.83	48.54
245	8.167	19.25	61.62	47.12
246	8.2	19.6	61.03	44.88
247	8.233	19.54	61.78	44.5
248	8.267	19.67	61.67	44.5
249	8.3	19.71	61.45	43.87
250	8.333	21.45	59.44	52.64
251	8.367	19.48	63.22	43.79
252	8.4	19.69	63.15	43.81
253	8.433	19.72	63.33	44.54
254	8.467	19.62	62.98	45.0
255	8.5	19.47	62.51	45.37
256	8.533	19.79	63.46	45.92
257	8.567	19.82	63.42	46.62
258	8.6	20.12	62.63	46.1
259	8.633	20.11	63.71	46.58
260	8.667	19.83	62.72	47.3
261	8.7	19.76	63.33	47.92
262	8.733	19.57	62.31	48.0
263	8.767	19.55	61.93	48.52
264	8.8	19.3	62.52	48.78
265	8.833	19.01	62.93	48.83
266	8.867	19.02	62.9	48.79
267	8.9	19.11	63.68	48.55
268	8.933	18.89	63.97	48.34
269	8.967	18.78	64.23	48.56
270	9.0	18.63	63.72	48.97
271	9.033	18.79	62.45	49.17
272	9.067	18.8	62.96	48.57
273	9.1	18.99	63.29	48.44
274	9.133	19.01	62.75	48.37
275	9.167	19.14	61.19	47.83
276	9.2	19.05	61.75	47.49
277	9.233	18.7	61.24	47.62
278	9.267	18.49	61.81	47.4
279	9.3	18.53	61.28	47.45
280	9.333	18.74	61.22	46.99
281	9.367	18.86	60.61	46.74
282	9.4	18.58	60.76	46.43
283	9.433	18.47	60.02	46.41
284	9.467	18.12	58.97	46.41
285	9.5	18.17	59.46	45.58
286	9.533	18.1	60.14	44.62
287	9.567	18.24	60.02	44.32
288	9.6	18.44	60.18	44.74
289	9.633	18.36	59.26	43.57
290	9.667	18.39	59.96	43.13
291	9.7	18.47	60.13	42.61
292	9.733	18.39	58.62	43.17
293	9.767	17.77	57.52	43.31
294	9.8	17.82	57.25	42.64
295	9.833	17.3	56.37	42.56
296	9.867	16.67	57.05	42.16
297	9.9	16.89	57.78	42.2
298	9.933	17.25	57.77	43.24
299	9.967	16.58	56.72	43.77
300	10.0	15.89	54.88	44.02
301	10.033	16.15	55.18	43.93
302	10.067	15.61	51.26	43.95
303	10.1	14.32	49.58	44.36
304	10.133	14.41	46.99	43.35
305	10.167	14.7	47.33	43.99
306	10.2	14.78	46.69	44.32
307	10.233	14.69	47.47	44.95
308	10.267	14.34	47.14	44.56
309	10.3	14.7	46.9	44.69
310	10.333	14.82	46.04	44.42
311	10.367	15.19	46.52	44.65
312	10.4	14.81	46.13	44.94
313	10.433	15.32	46.55	44.74
