Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	73.83	57.94	75.47	58.38	75.42	53.38	68.48	45.35	72.51	43.3	61.98	40.02	63.7	43.47	55.05	52.6	55.81	60.28	65.17	56.98	68.06	58.79	36.21	41.51	39.15	48.03	46.83	53.1	46.99	61.83	29.74	61.16	32.38	62.18
2	0.067	73.63	57.68	75.26	58.14	75.24	53.11	68.22	45.12	72.31	43.02	61.64	39.84	63.45	43.14	54.72	52.69	55.61	60.06	65.14	56.74	67.89	58.45	35.86	41.52	38.91	47.94	46.67	52.92	46.91	61.5	29.47	61.0	32.25	61.98
3	0.1	73.61	57.78	75.33	58.26	75.19	53.17	68.35	45.13	72.1	42.98	61.6	39.66	63.18	43.18	54.53	52.38	55.47	60.07	64.8	56.75	67.74	58.25	35.62	41.34	38.5	47.89	46.43	52.72	46.62	61.47	29.29	60.89	32.26	61.84
4	0.133	73.45	57.78	75.23	58.25	75.04	53.14	68.24	45.09	71.89	42.92	61.34	39.49	62.93	43.16	54.34	52.03	55.28	59.98	64.63	56.71	67.61	58.2	35.25	41.31	38.16	47.93	46.24	52.61	46.51	61.42	29.11	60.81	32.27	61.68
5	0.167	73.19	57.67	74.96	58.17	74.79	53.04	68.03	45.12	71.67	42.83	61.11	39.58	62.74	42.93	54.15	52.32	55.24	59.73	64.63	56.76	67.54	58.02	35.24	41.42	38.17	47.83	46.27	52.6	46.48	61.12	29.15	60.67	32.23	61.41
6	0.2	73.21	57.73	74.85	58.1	74.76	53.12	67.83	44.89	71.98	42.84	61.28	39.91	63.15	43.33	54.42	51.83	55.38	59.99	64.72	55.48	66.82	58.34	35.67	41.29	38.53	48.16	46.85	52.44	47.38	61.68	29.55	60.06	32.21	61.3
7	0.233	72.66	57.68	74.31	58.39	74.04	53.12	68.33	43.75	71.15	41.61	61.38	37.47	63.46	41.22	52.29	50.9	54.33	58.57	65.98	56.01	65.57	58.2	34.53	40.43	38.2	47.2	46.05	51.13	48.75	60.88	26.64	56.33	32.55	59.71
8	0.267	72.56	57.64	74.16	58.35	73.97	53.1	68.05	43.73	71.02	41.6	61.07	37.49	63.18	41.17	52.21	51.11	54.25	58.65	65.91	55.97	65.42	58.25	34.21	40.64	37.87	47.36	45.85	51.16	48.38	60.81	26.79	56.47	32.53	59.79
9	0.3	72.48	57.51	74.09	58.23	73.89	52.95	67.9	43.61	70.84	41.43	60.75	37.25	62.89	40.98	51.93	51.12	54.1	58.75	65.75	55.94	65.24	58.27	34.05	40.57	37.75	47.3	45.79	51.0	48.33	60.63	26.99	56.79	32.79	60.03
10	0.333	72.4	57.52	74.06	58.19	73.8	52.85	67.9	43.49	70.7	41.21	60.52	37.33	62.79	40.82	51.28	51.7	53.86	58.79	65.48	56.15	65.09	58.29	33.77	40.83	37.6	47.43	46.25	50.99	48.91	60.47	27.08	57.03	33.08	60.46
11	0.367	72.26	57.44	73.89	58.1	73.66	52.82	67.66	43.37	70.55	41.24	60.27	37.02	62.57	41.04	51.36	51.07	53.87	59.01	65.26	56.21	64.9	58.31	33.44	40.91	37.29	47.76	46.0	50.64	48.69	60.45	27.01	56.7	33.11	60.09
12	0.4	72.08	57.36	73.74	58.04	73.45	52.77	67.64	43.54	70.36	41.33	60.34	37.32	62.44	41.06	51.32	51.28	53.71	58.91	65.34	56.14	64.9	58.29	33.79	40.69	37.49	47.41	46.06	50.57	48.57	60.25	26.98	56.56	32.84	60.01
13	0.433	71.95	56.95	73.16	57.46	73.1	52.49	66.29	42.84	69.22	41.05	59.02	38.33	61.32	41.01	51.3	52.9	53.61	58.77	65.73	56.6	65.98	58.3	33.16	38.38	36.68	45.13	45.67	49.2	47.61	59.17	28.76	54.27	31.8	58.92
14	0.467	71.63	57.22	73.19	57.93	73.0	52.73	67.11	43.55	69.92	41.31	60.0	37.27	61.93	40.8	51.11	51.09	53.4	58.46	65.27	55.84	64.76	58.03	33.91	39.95	37.49	46.53	45.99	50.11	48.2	59.68	27.1	56.19	32.66	59.75
15	0.5	71.45	57.23	72.95	57.91	72.82	52.78	66.83	43.47	69.75	41.37	59.79	37.15	61.77	40.83	51.05	50.87	53.47	58.4	65.22	55.82	64.75	58.02	33.73	39.96	37.36	46.6	46.02	49.86	48.29	59.52	27.16	55.86	32.85	59.58
16	0.533	71.37	57.24	72.89	57.93	72.75	52.74	66.76	43.43	69.66	41.24	59.64	36.97	61.58	40.81	50.9	50.67	53.27	58.59	65.17	55.72	64.66	58.03	33.68	40.09	37.3	46.82	46.06	49.84	48.27	59.59	27.14	56.05	32.9	59.65
17	0.567	71.11	57.22	72.6	57.94	72.53	52.75	66.46	43.45	69.47	41.2	59.35	36.83	61.38	40.67	50.83	50.4	53.23	58.43	65.1	55.65	64.57	58.05	33.7	40.09	37.39	46.77	45.96	49.9	48.17	59.53	27.24	56.23	32.97	59.59
18	0.6	70.94	57.27	72.56	57.61	72.4	52.65	65.76	44.34	69.47	42.32	59.21	39.46	61.19	42.59	52.22	52.05	53.89	59.14	62.95	55.77	65.27	57.51	33.75	39.98	36.96	46.38	46.12	50.79	47.58	59.49	27.96	59.56	32.36	61.17
19	0.633	70.7	57.36	72.34	57.69	72.18	52.73	65.6	44.45	69.27	42.4	59.05	39.53	60.98	42.76	52.12	52.12	53.64	59.46	62.83	55.87	64.95	57.62	33.6	40.07	36.8	46.5	45.89	50.88	47.32	59.64	27.73	59.77	32.14	61.27
20	0.667	70.52	57.41	72.19	57.75	72.01	52.77	65.56	44.61	69.16	42.47	59.03	39.77	60.85	42.89	52.04	52.13	53.44	59.4	62.63	55.78	64.72	57.64	33.61	40.08	36.74	46.44	45.83	50.89	47.19	59.54	27.61	59.9	32.07	61.3
21	0.7	70.4	57.5	72.13	57.85	71.9	52.79	65.53	44.69	68.98	42.39	58.86	39.71	60.61	42.92	51.85	52.08	53.23	59.61	62.39	56.0	64.63	57.61	33.59	40.19	36.66	46.6	45.65	50.94	46.89	59.61	27.48	60.21	31.89	61.28
22	0.733	70.23	57.57	71.98	57.94	71.73	52.85	65.44	44.76	68.84	42.41	58.77	39.8	60.47	42.86	51.65	52.4	53.03	59.69	62.13	56.04	64.39	57.63	33.33	40.23	36.4	46.55	45.47	51.02	46.73	59.58	27.16	60.48	31.67	61.56
23	0.767	69.68	57.41	71.14	57.93	70.95	52.75	65.32	42.88	68.15	41.01	58.77	37.68	60.77	40.77	49.03	52.05	51.66	58.23	63.28	55.39	63.06	57.91	31.71	38.58	35.33	45.1	45.92	49.22	48.94	58.92	25.49	54.94	31.67	59.85
24	0.8	69.63	57.45	71.09	58.0	70.93	52.77	65.32	42.95	68.24	41.02	58.83	37.77	60.78	40.77	48.87	52.2	51.5	58.24	63.08	55.35	62.89	57.79	31.64	38.6	35.22	45.08	46.04	49.35	48.99	59.03	25.32	55.1	31.53	60.05
25	0.833	69.49	57.27	70.94	57.79	70.77	52.63	65.16	42.86	68.06	41.02	58.66	37.69	60.65	40.85	48.7	52.06	51.31	58.3	62.89	55.39	62.64	57.85	31.65	38.69	35.26	45.23	45.77	49.22	48.76	58.99	25.22	54.95	31.4	59.97
26	0.867	69.34	57.41	70.89	57.94	70.62	52.68	65.29	43.01	67.93	40.96	58.7	37.86	60.56	40.79	48.42	52.24	51.11	58.21	62.63	55.43	62.39	57.82	31.64	38.69	35.16	45.12	45.83	49.37	48.72	58.99	25.07	55.07	31.29	59.94
27	0.9	69.29	57.26	70.81	57.82	70.58	52.56	65.21	42.97	67.95	40.91	58.69	37.86	60.55	40.72	48.45	52.25	51.07	58.09	62.66	55.33	62.42	57.65	31.71	38.77	35.21	45.15	45.74	49.47	48.58	59.01	25.01	55.19	31.18	60.01
28	0.933	69.11	57.23	70.64	57.78	70.42	52.5	65.02	42.9	67.78	40.81	58.44	37.81	60.4	40.69	48.32	52.15	50.95	58.06	62.58	55.48	62.22	57.77	31.48	38.97	35.09	45.32	45.61	49.66	48.53	59.14	24.87	55.56	31.13	60.22
29	0.967	68.97	57.01	70.44	57.59	70.3	52.39	64.73	42.89	67.71	40.89	58.24	37.84	60.22	40.72	48.33	52.16	50.83	58.0	62.55	55.47	62.15	57.72	31.32	39.13	34.92	45.45	45.39	49.85	48.25	59.29	24.8	55.7	30.9	60.42
30	1.0	68.84	57.25	70.33	57.83	70.18	52.55	64.7	42.95	67.63	40.84	58.19	37.82	60.15	40.61	48.06	52.2	50.66	57.92	62.42	55.45	62.05	57.7	31.16	38.98	34.79	45.26	45.44	49.91	48.32	59.32	24.59	56.01	30.85	60.72
31	1.033	68.72	57.21	70.24	57.82	70.09	52.49	64.64	43.04	67.57	40.79	58.08	37.9	60.07	40.61	47.94	52.16	50.6	57.91	62.4	55.28	62.09	57.6	31.12	38.92	34.76	45.18	45.27	49.91	48.07	59.26	24.34	55.99	30.51	60.52
32	1.067	68.95	57.31	70.68	57.79	70.59	52.55	64.21	44.82	67.9	42.13	57.48	39.9	59.24	42.44	50.05	53.1	51.42	59.51	61.02	56.51	63.34	57.28	32.23	40.48	35.41	46.42	44.53	51.55	45.57	59.58	25.79	61.39	30.23	62.1
33	1.1	68.58	57.19	70.09	57.84	69.97	52.52	64.45	43.1	67.46	40.83	57.93	37.85	59.92	40.52	47.97	52.11	50.78	57.74	62.38	55.31	62.29	57.48	30.97	38.65	34.6	44.87	45.08	49.67	47.7	58.94	24.37	55.64	30.36	60.04
34	1.133	68.58	57.15	70.07	57.79	69.98	52.46	64.37	43.03	67.42	40.79	57.81	37.79	59.85	40.51	47.93	52.01	50.69	57.74	62.42	55.33	62.25	57.56	30.83	38.53	34.5	44.79	45.0	49.49	47.68	58.81	24.33	55.55	30.33	59.99
35	1.167	68.56	57.13	70.0	57.78	69.98	52.5	64.25	43.03	67.51	40.9	57.79	37.72	59.88	40.45	48.01	52.05	50.71	57.71	62.42	55.29	62.25	57.51	30.64	38.48	34.34	44.76	44.75	49.35	47.42	58.69	24.28	55.48	30.21	60.01
36	1.2	68.56	57.14	69.95	57.81	70.01	52.53	64.14	43.01	67.56	40.85	57.7	37.63	59.84	40.2	47.91	52.1	50.67	57.46	62.41	55.2	62.2	57.42	30.69	38.5	34.43	44.67	44.89	49.38	47.56	58.56	24.49	55.61	30.5	60.11
37	1.233	68.53	57.15	69.92	57.85	70.01	52.56	64.09	43.07	67.56	40.86	57.64	37.58	59.79	40.18	47.86	51.83	50.64	57.26	62.37	55.21	62.17	57.33	30.73	38.57	34.5	44.74	44.93	49.43	47.61	58.61	24.46	55.87	30.51	60.3
