Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
1	0.033	88.54	120.18	116.58	120.08
2	0.067	88.3	120.06	116.36	121.19
3	0.1	88.06	119.79	115.96	120.91
4	0.133	89.21	118.25	117.3	122.6
5	0.167	88.43	117.02	117.63	121.81
6	0.2	88.83	115.54	118.42	124.07
7	0.233	89.79	113.45	119.84	123.27
8	0.267	90.33	115.22	117.78	122.96
9	0.3	91.17	116.59	118.99	123.6
10	0.333	91.62	116.56	116.96	123.94
11	0.367	92.33	118.37	116.98	123.79
12	0.4	95.42	122.15	106.36	128.41
13	0.433	97.41	121.8	108.09	129.52
14	0.467	97.65	122.68	107.45	129.68
15	0.5	98.72	123.07	108.81	129.85
16	0.533	99.25	124.09	110.01	128.96
17	0.567	98.97	124.37	108.37	128.02
18	0.6	98.58	122.94	107.11	127.03
19	0.633	98.64	123.63	107.22	126.91
20	0.667	98.42	123.24	107.02	126.68
21	0.7	98.6	123.83	107.36	127.38
22	0.733	99.09	124.79	108.2	127.81
23	0.767	98.53	124.93	108.12	127.21
24	0.8	98.67	125.21	108.0	127.16
25	0.833	98.19	124.65	107.66	126.67
26	0.867	98.24	125.37	107.44	126.32
27	0.9	98.19	125.32	107.24	126.46
28	0.933	98.51	127.02	108.25	127.58
29	0.967	98.44	127.55	108.4	127.73
30	1.0	98.64	128.41	107.73	127.51
31	1.033	98.74	129.0	107.54	127.27
32	1.067	98.99	129.18	107.28	126.65
33	1.1	99.02	129.27	107.55	127.1
34	1.133	98.82	128.65	107.27	126.92
35	1.167	99.31	127.38	107.5	127.9
36	1.2	98.33	127.75	108.39	127.17
37	1.233	98.01	128.51	109.25	127.56
38	1.267	97.22	129.49	111.76	127.27
39	1.3	97.13	127.23	111.27	128.32
40	1.333	96.67	127.15	112.09	128.64
41	1.367	96.99	127.35	112.31	128.78
42	1.4	96.24	126.63	112.09	128.34
43	1.433	96.9	125.69	112.34	129.14
44	1.467	97.2	126.04	112.28	128.59
45	1.5	97.07	127.23	113.09	128.59
46	1.533	97.25	125.26	112.43	127.98
47	1.567	97.53	125.74	112.65	128.23
48	1.6	97.21	125.61	112.2	128.13
49	1.633	96.74	126.42	111.54	128.62
50	1.667	96.39	127.01	111.3	127.92
51	1.7	96.59	128.22	110.83	127.68
52	1.733	97.26	128.9	112.11	127.2
53	1.767	96.78	130.03	110.57	124.31
54	1.8	98.46	132.04	109.86	125.39
55	1.833	98.63	132.69	109.94	125.27
56	1.867	99.2	132.66	110.02	126.39
57	1.9	99.47	132.15	111.01	128.02
58	1.933	99.18	131.79	111.35	129.09
59	1.967	97.97	131.17	111.65	128.4
60	2.0	97.12	129.01	111.98	127.4
61	2.033	96.45	128.06	112.19	127.52
62	2.067	96.05	127.99	112.62	127.26
63	2.1	96.26	126.96	112.58	127.63
64	2.133	96.36	126.87	113.24	127.55
