Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
1	0.034	178.67	78.16	70.26	106.1
2	0.069	178.67	78.16	70.26	106.1
3	0.103	178.67	78.16	70.26	106.1
4	0.138	177.79	74.87	73.13	104.36
5	0.172	177.79	74.87	73.13	104.36
6	0.207	177.79	74.87	73.13	104.36
7	0.241	176.16	74.41	63.64	109.65
8	0.276	176.16	74.41	63.64	109.65
9	0.31	176.16	74.41	63.64	109.65
10	0.345	176.22	73.28	62.81	110.43
11	0.379	176.22	73.28	62.81	110.43
12	0.414	176.22	73.28	62.81	110.43
13	0.448	176.4	75.35	68.46	110.38
14	0.483	176.4	75.35	68.46	110.38
15	0.517	176.4	75.35	68.46	110.38
16	0.552	176.13	76.07	66.05	109.87
17	0.586	176.13	76.07	66.05	109.87
18	0.621	176.13	76.07	66.05	109.87
19	0.655	176.15	74.22	68.18	111.15
20	0.69	176.15	74.22	68.18	111.15
21	0.724	176.15	74.22	68.18	111.15
22	0.759	176.22	71.94	66.66	112.37
23	0.793	176.22	71.94	66.66	112.37
24	0.828	176.22	71.94	66.66	112.37
25	0.862	176.06	74.28	69.79	112.45
26	0.897	176.06	74.28	69.79	112.45
27	0.931	176.06	74.28	69.79	112.45
28	0.966	176.16	73.83	68.83	113.03
29	1.0	176.16	73.83	68.83	113.03
30	1.034	176.16	73.83	68.83	113.03
31	1.069	176.23	74.92	73.05	113.69
32	1.103	176.23	74.92	73.05	113.69
33	1.138	176.23	74.92	73.05	113.69
34	1.172	179.58	76.78	90.62	109.7
35	1.207	179.58	76.78	90.62	109.7
36	1.241	179.58	76.78	90.62	109.7
37	1.276	177.85	71.48	113.24	100.64
38	1.31	177.85	71.48	113.24	100.64
39	1.345	177.85	71.48	113.24	100.64
40	1.379	178.86	72.21	101.18	101.47
41	1.414	178.86	72.21	101.18	101.47
42	1.448	178.86	72.21	101.18	101.47
