Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	46.15	53.51	43.78	52.68	43.94	57.67	43.38	56.71	45.79	69.74	50.11	56.3	53.39	69.82	51.4	47.73	60.63	74.72	46.36	45.29	54.84	71.45	63.08	56.65	66.62	65.64	65.58	44.29	68.24	53.91	70.25	51.94	71.83	61.33
2	0.067	46.15	53.51	43.78	52.68	43.94	57.67	43.38	56.71	45.79	69.74	50.11	56.3	53.39	69.82	51.4	47.73	60.63	74.72	46.36	45.29	54.84	71.45	63.08	56.65	66.62	65.64	65.58	44.29	68.24	53.91	70.25	51.94	71.83	61.33
3	0.1	46.15	53.51	43.78	52.68	43.94	57.67	43.38	56.71	45.79	69.74	50.11	56.3	53.39	69.82	51.4	47.73	60.63	74.72	46.36	45.29	54.84	71.45	63.08	56.65	66.62	65.64	65.58	44.29	68.24	53.91	70.25	51.94	71.83	61.33
4	0.133	46.22	51.13	43.83	50.33	43.91	55.24	43.49	54.88	45.62	67.86	50.38	55.03	53.78	68.92	51.42	45.95	64.54	72.48	46.9	43.19	63.65	61.85	63.56	55.38	66.83	64.17	66.18	44.19	68.6	53.21	69.96	51.52	71.6	60.43
5	0.167	46.22	51.13	43.83	50.33	43.91	55.24	43.49	54.88	45.62	67.86	50.38	55.03	53.78	68.92	51.42	45.95	64.54	72.48	46.9	43.19	63.65	61.85	63.56	55.38	66.83	64.17	66.18	44.19	68.6	53.21	69.96	51.52	71.6	60.43
6	0.2	46.22	51.13	43.83	50.33	43.91	55.24	43.49	54.88	45.62	67.86	50.38	55.03	53.78	68.92	51.42	45.95	64.54	72.48	46.9	43.19	63.65	61.85	63.56	55.38	66.83	64.17	66.18	44.19	68.6	53.21	69.96	51.52	71.6	60.43
7	0.233	46.27	53.72	43.82	52.08	43.67	57.91	43.6	53.96	45.01	68.99	50.15	53.38	52.89	69.96	51.62	46.27	60.59	77.85	47.36	43.71	56.29	72.68	63.69	54.51	66.99	65.18	64.99	42.98	68.29	55.08	69.9	49.23	72.08	59.01
8	0.267	46.27	53.72	43.82	52.08	43.67	57.91	43.6	53.96	45.01	68.99	50.15	53.38	52.89	69.96	51.62	46.27	60.59	77.85	47.36	43.71	56.29	72.68	63.69	54.51	66.99	65.18	64.99	42.98	68.29	55.08	69.9	49.23	72.08	59.01
9	0.3	46.27	53.72	43.82	52.08	43.67	57.91	43.6	53.96	45.01	68.99	50.15	53.38	52.89	69.96	51.62	46.27	60.59	77.85	47.36	43.71	56.29	72.68	63.69	54.51	66.99	65.18	64.99	42.98	68.29	55.08	69.9	49.23	72.08	59.01
10	0.333	46.04	53.31	43.78	51.53	43.39	57.34	43.83	53.25	44.44	68.27	50.14	53.13	51.36	70.29	51.38	46.68	56.02	80.76	46.77	42.58	50.31	79.98	64.4	54.67	67.12	66.05	65.3	43.57	68.53	56.24	70.42	50.85	72.26	60.29
