Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	72.41	53.81	0.0	0.0	71.24	50.46	0.0	0.0	62.93	48.4	54.67	51.14	60.84	63.02	0.0	0.0	68.28	80.09	73.54	64.71	77.52	74.65	30.55	60.67	35.29	73.32	25.39	62.76	26.99	79.77	17.7	57.52	18.29	64.41
2	0.067	72.44	53.44	0.0	0.0	71.24	50.27	0.0	0.0	62.92	48.72	54.46	51.54	60.82	63.55	0.0	0.0	68.54	80.64	74.14	65.26	77.31	75.57	30.4	60.97	35.26	73.73	24.33	62.92	25.36	80.14	16.86	57.75	16.3	64.57
3	0.1	72.87	52.85	0.0	0.0	71.36	49.71	0.0	0.0	62.87	49.24	56.22	52.77	61.25	64.31	0.0	0.0	69.59	81.31	74.93	66.15	79.79	76.71	32.34	63.0	36.11	75.8	24.97	63.81	25.53	80.99	16.42	59.19	16.04	65.35
4	0.133	72.8	52.46	0.0	0.0	71.28	49.37	0.0	0.0	62.8	49.01	56.12	52.51	61.1	63.88	0.0	0.0	69.02	80.85	74.89	65.87	79.16	76.77	32.47	63.04	36.25	75.69	24.97	64.06	25.67	80.99	16.6	59.01	16.31	65.21
5	0.167	72.63	52.25	0.0	0.0	71.08	49.1	0.0	0.0	62.64	48.65	56.4	52.39	61.0	63.77	0.0	0.0	68.71	80.99	75.1	65.83	78.47	76.34	32.93	63.25	36.51	75.89	25.29	64.0	25.73	81.01	16.34	59.17	16.03	65.29
6	0.2	72.38	52.03	0.0	0.0	70.86	48.83	0.0	0.0	62.5	48.3	56.16	52.39	60.78	63.41	0.0	0.0	68.25	80.69	75.03	65.57	78.31	76.05	32.6	63.11	36.19	75.61	24.81	64.03	25.16	80.81	16.24	58.61	15.68	64.84
7	0.233	72.23	51.93	0.0	0.0	70.66	48.71	0.0	0.0	62.07	48.15	55.88	52.39	60.42	63.3	0.0	0.0	67.88	80.44	75.3	65.63	78.26	75.3	32.15	63.3	35.67	75.72	24.17	64.12	24.65	80.77	15.92	58.63	15.25	64.66
8	0.267	71.98	51.88	0.0	0.0	70.39	48.68	0.0	0.0	61.89	48.14	55.95	52.54	60.35	63.29	0.0	0.0	67.6	80.17	75.49	65.55	77.89	74.7	32.34	63.31	35.8	75.63	24.06	64.52	24.55	81.13	15.62	58.87	14.99	65.01
9	0.3	71.94	51.87	0.0	0.0	70.55	48.51	0.0	0.0	61.83	47.3	53.77	51.84	59.97	63.22	0.0	0.0	66.96	80.65	74.31	65.88	75.58	73.46	29.96	62.12	34.74	74.6	24.02	63.69	25.01	80.63	16.7	57.41	15.37	64.3
10	0.333	72.11	51.85	0.0	0.0	70.54	48.67	0.0	0.0	62.06	48.31	55.76	53.05	60.43	63.53	0.0	0.0	67.41	79.99	75.13	65.09	77.07	73.3	32.14	63.94	35.85	76.02	24.27	64.78	25.09	81.11	15.64	58.83	15.54	65.06
11	0.367	72.14	51.83	0.0	0.0	70.56	48.67	0.0	0.0	62.03	48.41	55.95	52.95	60.47	63.78	0.0	0.0	67.7	79.92	75.48	64.67	76.98	72.67	32.06	63.83	35.63	76.14	24.17	64.57	24.82	81.26	15.28	58.81	15.21	65.09
12	0.4	72.02	51.77	0.0	0.0	70.46	48.62	0.0	0.0	61.97	48.41	55.96	52.91	60.38	63.86	0.0	0.0	67.33	79.51	75.49	64.63	76.12	72.5	32.1	63.29	35.67	75.6	24.03	64.4	24.62	81.08	15.36	58.59	15.24	64.76
13	0.433	72.23	52.03	0.0	0.0	70.69	48.9	0.0	0.0	62.2	48.56	56.31	52.9	60.45	64.12	0.0	0.0	67.74	79.61	75.69	64.48	76.42	71.63	32.22	63.63	35.62	76.14	24.12	64.74	24.4	81.85	14.53	59.55	14.54	65.83
14	0.467	72.08	51.55	0.0	0.0	70.59	48.32	0.0	0.0	62.47	47.95	55.95	53.09	60.76	63.04	0.0	0.0	65.96	79.1	74.29	64.39	74.66	70.97	32.94	64.65	36.87	76.24	27.69	64.07	28.63	80.02	17.66	59.59	17.74	66.29
15	0.5	72.26	51.25	0.0	0.0	70.77	48.07	0.0	0.0	62.69	47.87	56.11	53.01	60.98	63.03	0.0	0.0	66.03	79.04	74.45	64.45	74.96	71.53	33.58	64.37	37.55	75.99	28.43	63.79	29.34	79.76	18.45	59.1	18.36	65.95
16	0.533	72.24	51.02	0.0	0.0	70.83	47.83	0.0	0.0	62.88	47.58	56.09	52.99	61.01	62.76	0.0	0.0	65.93	78.94	73.94	64.4	74.36	71.31	33.8	64.16	37.83	75.6	28.73	63.83	29.56	79.59	18.64	59.19	18.7	65.97
17	0.567	72.43	50.49	0.0	0.0	71.02	47.34	0.0	0.0	63.0	47.38	56.05	52.99	60.91	62.65	0.0	0.0	65.96	78.79	74.1	64.04	74.49	70.75	33.62	64.23	37.61	75.59	28.78	63.64	29.68	79.27	18.93	59.29	19.11	66.02
18	0.6	72.49	50.22	0.0	0.0	71.12	47.1	0.0	0.0	63.16	47.26	56.19	53.06	60.99	62.6	0.0	0.0	66.18	78.59	74.49	63.8	74.49	70.41	33.85	64.44	37.79	75.71	29.26	63.85	30.03	79.35	19.29	59.59	19.35	66.11
19	0.633	72.46	50.13	0.0	0.0	71.12	47.0	0.0	0.0	63.23	47.15	56.16	52.97	60.99	62.41	0.0	0.0	66.23	78.63	74.58	63.93	74.58	70.58	33.66	64.31	37.64	75.54	29.3	63.71	30.01	79.16	19.07	59.51	19.11	66.04
